,hindi,english
0,भारत,India
1,महात्मा गांधी,Mahatma Gandhi
2,राहुल बजाज,Rahul Bajaj
3,अलवर,Alwar
4,भारतीय,Indian
5,रसायन विज्ञान,Chemistry
6,"राजगढ़, अलवर","Rajgarh, Alwar"
7,राजस्थान,Rajasthan
8,ल्यूपिन लिमिटेड,Lupin Limited
9,उच्चतम न्यायालय,Supreme court
10,जोधपुर,Jodhpur
11,पटना उच्च न्यायालय,Patna High Court
12,भारत,India
13,भारत का उच्चतम न्यायालय,Supreme Court of India
14,भारत के मुख्य न्यायाधीश,List of chief justices of India
15,राजस्थान,Rajasthan
16,राजस्थान उच्च न्यायालय,Rajasthan High Court
