,hindi,english
0,भारत,India
1,भारत के गृह मंत्री,Minister of Home Affairs (India)
2,भारत के वित्त मंत्री,Minister of Finance (India)
3,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
4,मनमोहन सिंह,Manmohan Singh
5,शिवराज पाटिल,Shivraj Patil
6,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
7,दिल्ली उच्च न्यायालय,Delhi High Court
8,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
9,राजीव गांधी,Rajiv Gandhi
10,लाहौर,Lahore
11,लोक सभा,Lok Sabha
12,हिन्दी,Hindi
13,चेन्नई,Chennai
14,जयललिता,J. Jayalalithaa
15,तमिल भाषा,Tamil language
16,द्रविड़ मुन्नेत्र कड़गम,Dravida Munnetra Kazhagam
17,भारत,India
18,पंद्रहवीं लोकसभा,15th Lok Sabha
19,भारत सरकार,Government of India
