,hindi,english
0,अरुण जेटली,Arun Jaitley
1,क्रिकेट,Cricket
2,दरभंगा,Darbhanga
3,पूर्णिया,Purnia
4,बिहार,Bihar
5,भागवत झा आजाद,Bhagwat Jha Azad
6,भारत,India
7,भारतीय जनता पार्टी,Bharatiya Janata Party
8,मुख्यमंत्री,Chief minister (India)
9,राजनीतिज्ञ,Politics
10,लोक सभा,Lok Sabha
11,इंडियन प्रीमियर लीग,Indian Premier League
12,ओडिसा,Odisha
13,केरल,Kerala
14,झारखंड,Jharkhand
15,दिल्ली डेयरडेविल्स,Delhi Capitals
16,प्रथम श्रेणी क्रिकेट,First-class cricket
17,बिहार,Bihar
18,भारत,India
19,भारतीय,Indian
20,लिस्ट ए क्रिकेट,List A cricket
21,२०१८ इंडियन प्रीमियर लीग,2018 Indian Premier League
22,भारत,India
23,इंडियन प्रीमियर लीग,Indian Premier League
24,क्रिकेट,Cricket
