,hindi,english
0,1993,1993
1,उड़िया,Odia language
2,ज्ञानपीठ पुरस्कार,Jnanpith Award
3,पद्म भूषण,Padma Bhushan
4,भारत,India
5,भारत सरकार,Government of India
6,२००३,2003
7,ओडिशा,Odisha
8,कैम्ब्रिज विश्वविद्यालय,University of Cambridge
9,दिल्ली,Delhi
10,नई दिल्ली,New Delhi
11,नवीन पटनायक,Naveen Patnaik
12,पद्म श्री,Padma Shri
13,बीजू पटनायक,Biju Patnaik
14,भारत,India
15,यूनाइटेड किंगडम,European Charter for Regional or Minority Languages
16,लंदन,London
17,भारत,India
18,भारत सरकार,Government of India
19,पद्म भूषण,Padma Bhushan
20,भारत,India
21,भारत सरकार,Government of India
22,१९७१,1971
