,hindi,english
0,अति विशिष्ट सेवा पदक,Ati Vishisht Seva Medal
1,एयर चीफ मार्शल,Air chief marshal
2,कोलकाता,Kolkata
3,परम विशिष्ट सेवा पदक,Param Vishisht Seva Medal
4,पश्चिम बंगाल,West Bengal
5,भारतीय वायु सेना,Indian Air Force
6,मिग-21,Mikoyan-Gurevich MiG-21
7,मिग-29,Mikoyan MiG-29
8,राष्ट्रीय रक्षा अकादमी,National Defence Academy (India)
9,वायु सेना पदक,Vayu Sena Medal
10,हैदराबाद,Hyderabad
11,टशन-ए-इश्क़,Tashan-e-Ishq
12,अभिनेता,Actor
13,अम्बाला,Ambala
14,इंटरनेट मूवी डेटाबेस,IMDb
15,एकता कपूर,Ekta Kapoor
16,एमटीवी इंडिया,MTV (Indian TV channel)
17,गोवा,Goa
18,जेनिफर विंगेट,Jennifer Winget
19,झलक दिखला जा,Jhalak Dikhhla Jaa
20,ट्विटर,Twitter
21,दिल मिल गए,Dill Mill Gayye
22,नई दिल्ली,New Delhi
23,पंजाबी,Punjabi
24,परिवार,Family
25,बिपाशा बसु,Bipasha Basu
26,भारत,India
27,मिले जब हम तुम,Miley Jab Hum Tum
28,मुंबई मिरर,Mumbai Mirror
29,श्रद्धा निगम,Shraddha Nigam
30,सहारा वन,Sahara One
31,सिख,Sikhs
32,स्टार वन,Star One (Indian TV channel)
33,हरियाणा,Haryana
34,इंटरनेट मूवी डेटाबेस,IMDb
