,hindi,english
0,अभिनेता,Actor
1,हिन्दी,Hindi
2,ऋत्विक घटक,Ritwik Ghatak
3,जोधपुर,Jodhpur
4,भारतीय फिल्म और टेलिविज़न संस्थान,Film and Television Institute of India
5,समानान्तर सिनेमा,Parallel cinema
6,इंदीवर,Indeevar
7,जयपुर,Jaipur
8,पृथ्वीराज कपूर,Prithviraj Kapoor
9,भारत,India
10,मजरुह सुल्तानपुरी,Majrooh Sultanpuri
11,राज कपूर,Raj Kapoor
12,शंकर-जयकिशन,Shankar–Jaikishan
13,शैलेन्द्र,Shailendra (lyricist)
14,अभिनेता,Actor
15,इंटरनेट मूवी डेटाबेस,IMDb
16,जयपुर,Jaipur
17,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
18,फ़िल्मफ़ेयर सर्वश्रेष्ठ खलनायक पुरस्कार,Filmfare Award for Best Performance in a Negative Role
19,फ़िल्मफ़ेयर सर्वश्रेष्ठ सहायक अभिनेता पुरस्कार,Filmfare Award for Best Supporting Actor
20,राजस्थान,Rajasthan
21,राष्ट्रीय नाट्य विद्यालय,National School of Drama
22,रोग,Disease
23,स्लमडॉग मिलियनेयर,Slumdog Millionaire
24,हिन्दी,Hindi
25,हॉलीवुड,Hollywood
26,२००४,2004
