,hindi,english
0,देहरादून,Dehradun
1,भारत,India
2,मुरादाबाद,Moradabad
3,सांसद,Member of parliament
4,उत्तर प्रदेश,Uttar Pradesh
5,दिल्ली,Delhi
6,भारत,India
7,भारतीय राष्ट्रवाद,Indian nationalism
8,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
9,मुहम्मद अली जौहर,Mohammad Ali Jauhar
10,अफजाल अंसारी,Afzal Ansari
11,अहिंसा,Ahiṃsā
12,इस्लाम,Islam
13,उत्तर प्रदेश,Uttar Pradesh
14,उर्दू,Urdu
15,गांधीवाद,Gandhism
16,जामिया मिलिया इस्लामिया,Jamia Millia Islamia
17,तुर्की,Turkey
18,दिल्ली,Delhi
19,ब्रिटिश साम्राज्य,British Empire
20,भारतीय मुस्लिम राष्ट्रवाद,Muslim nationalism in South Asia
21,भारतीय राष्ट्रवाद,Indian nationalism
22,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
23,मसूरी,Mussoorie
24,महात्मा गांधी,Mahatma Gandhi
25,मुस्लिम लीग,Muslim League
26,मुहम्मद अली जिन्ना,Muhammad Ali Jinnah
27,मोहम्मद हामिद अंसारी,Mohammad Hamid Ansari
28,लंदन,London
29,हैदराबाद,Hyderabad
