,hindi,english
0,अभिनेता,Actor
1,इंटरनेट मूवी डेटाबेस,IMDb
2,क्योंकि सास भी कभी बहू थी,Kyunki Saas Bhi Kabhi Bahu Thi
3,दिल्ली,Delhi
4,फुकरे,Fukrey
5,भारत,India
6,आशीष चंचलानी,Ashish Chanchlani
7,इंटरनेट मूवी डेटाबेस,IMDb
8,इंस्टाग्राम,Instagram
9,कश्मीर,Kashmir
10,गुजरात,Gujarat
11,ट्विटर,Twitter
12,दिल्ली,Delhi
13,पाकिस्तान,Pakistan
14,फेसबुक,Facebook
15,भारत,India
16,भारतीय,Indian
17,यूट्यूब,YouTube
18,इंटरनेट मूवी डेटाबेस,IMDb
19,दिल मिल गए,Dill Mill Gayye
20,दिल्ली,Delhi
21,बात हमारी पक्की है,Baat Hamari Pakki Hai
22,भारत,India
