,hindi,english
0,शब्दकोश,Dictionary
1,कलकत्ता विश्वविद्यालय,University of Calcutta
2,कोलकाता,Kolkata
3,जानकी अम्माल,Janaki Ammal
4,बंगाल,Bengal
5,भारत,India
6,भारतीय उपमहाद्वीप,Indian subcontinent
7,भारतीय राष्ट्रीय विज्ञान अकादमी,Indian National Science Academy
8,मलेरिया,Malaria
9,राज्य सभा,Rajya Sabha
10,आशुतोष मुखोपाध्याय,Ashutosh Mukhopadhyay
11,इंग्लैण्ड,England
12,कलकत्ता उच्च न्यायालय,Calcutta High Court
13,कलकत्ता विश्वविद्यालय,University of Calcutta
14,गणित,Mathematics
15,तारकनाथ पालित,Taraknath Palit
16,धोती,Dhoti
17,पुस्तकालय,Library
18,बंगाल,Bengal
19,भारतीय जनसंघ,Bharatiya Jana Sangh
20,रास बिहारी घोष,Rash Behari Ghosh
21,विधि,Law
22,विवाह,Marriage
23,श्यामाप्रसाद मुखर्जी,Syama Prasad Mukherjee
24,भारत,India
