,hindi,english
0,गायक,Singer
1,पंजाबी भाषा,Punjabi language
2,अमृतसर,Amritsar
3,पंजाबी,Punjabi
4,सुनिधि चौहान,Sunidhi Chauhan
5,अमिताभ बच्चन,Amitabh Bachchan
6,दिल्ली,Delhi
7,नोकिया,Nokia
8,पंजाबी भाषा,Punjabi language
9,बुल्ला की जाना,Bullah Ki Jaana
10,बुल्ले शाह,Bulleh Shah
11,ब्राज़ील,Brazil
12,भारत,India
13,वारिस शाह,Waris Shah
14,शिव कुमार बटालवी,Shiv Kumar Batalvi
15,संगीतकार,Musician
16,सिख,Sikhs
17,हीर राँझा,Heer Ranjha
18,आत्मकथा,Autobiography
19,आर्य समाज,Arya Samaj
20,कृष्ण,Krishna
21,गरम दल,Garam dal
22,दयानन्द सरस्वती,Dayananda Saraswati
23,पंजाब नैशनल बैंक,Punjab National Bank
24,बाल गंगाधर तिलक,Bal Gangadhar Tilak
25,भगत सिंह,Bhagat Singh
26,भारत,India
27,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
28,मृत्यु,Death
29,राजगुरु,Shivaram Rajguru
30,रोहतक,Rohtak
31,लाल-बाल-पाल,Lal Bal Pal
32,लाला हंसराज,Mahatma Hansraj
33,लाहौर,Lahore
34,शिवाजी,Shivaji
35,साइमन कमीशन,Simon Commission
36,सुखदेव,Sukhdev Thapar
37,हरियाणा,Haryana
38,हिन्दी,Hindi
39,हिसार,Hisar (city)
40,१७ नवम्बर,November 17
41,१९२८,1928
