,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,करम अपना अपना,Karam Apnaa Apnaa
2,ज़ी टीवी,Zee TV
3,तेरे मेरे सपने,Tere Mere Sapne
4,दूरदर्शन,Television
5,पिया का घर,Piya Ka Ghar
6,भारत,India
7,हमको तुमसे प्यार है,Humko Tumse Pyaar Hai
8,इंटरनेट मूवी डेटाबेस,IMDb
9,इक्कीस तोपों की सलामी,Ekkees Toppon Ki Salaami
10,फेसबुक,Facebook
11,मौसम,Weather
12,अभिनेता,Actor
13,इंटरनेट मूवी डेटाबेस,IMDb
14,इलाहाबाद,Allahabad
15,इलाहाबाद विश्वविद्यालय,University of Allahabad
16,कालो,Kaalo
17,दिल से,Dil Se..
18,दिल्ली,Delhi
19,फ़िल्म,Film
20,भारत,India
21,भारतीय,Indian
22,अभिनेता,Actor
23,इंटरनेट मूवी डेटाबेस,IMDb
24,खामोशियाँ,Khamoshiyan
25,फुकरे,Fukrey
26,फ्यूरियस ७,Furious 7
27,बॉलीवुड हँगामा,Bollywood Hungama
28,भारत,India
29,मॉडल,Model (physical)
30,लखनऊ,Lucknow
31,विक्टोरिया,Queen Victoria
32,३ ईडियट्स,3 Idiots
