,hindi,english
0,अखिल भारतीय आयुर्विज्ञान संस्थान,All India Institutes of Medical Sciences
1,अन्तर्राष्ट्रीय मुद्रा कोष,International Monetary Fund
2,अर्थशास्त्र,Economics
3,असम,Assam
4,आर्थिक सुधार,Economic liberalization
5,एशियाई विकास बैंक,Asian Development Bank
6,कैम्ब्रिज विश्वविद्यालय,University of Cambridge
7,गुरशरण कौर,Gursharan Kaur
8,जवाहरलाल नेहरू,Jawaharlal Nehru
9,जवाहरलाल नेहरू विश्वविद्यालय,Jawaharlal Nehru University
10,पंजाब विश्वविद्यालय,Panjab University
11,पद्म विभूषण,Padma Vibhushan
12,पाकिस्तान,Pakistan
13,प्रधानमन्त्री,Prime minister
14,भारत,India
15,भारत के प्रधानमन्त्री,Prime Minister of India
16,भारतीय रिज़र्व बैंक,Reserve Bank of India
17,राजीव गांधी,Rajiv Gandhi
18,राज्य सभा,Rajya Sabha
19,शिवराज पाटिल,Shivraj Patil
20,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
21,संयुक्त राष्ट्र व्यापार और विकास सम्मेलन,United Nations Conference on Trade and Development
22,१६ मई,May 16
23,१९५६,1956
24,१९७१,1971
25,१९७२,1972
26,१९८७,1987
27,१९९०,1990
28,१९९१,1991
29,१९९३,1993
30,१९९४,1994
31,१९९५,1995
32,१९९६,1996
33,१९९८,1998
34,२००४,2004
35,२१ जून,June 21
36,आगरा,Agra
37,आर्यसमाज,Arya Samaj
38,झज्जर,Jhajjar
39,दीनबंधु छोटू राम यूनिवर्सिटी ऑफ़ साइंस एंड टेक्नोलॉजी,Deenbandhu Chhotu Ram University of Science and Technology
40,भारत,India
41,महात्मा गांधी,Mahatma Gandhi
42,मेरठ,Meerut
43,रोहतक,Rohtak
44,लाहौर,Lahore
45,वैदिक धर्म,Historical Vedic religion
46,हरियाणा,Haryana
47,हरियाणा का इतिहास,History of Haryana
48,दिल्ली,Delhi
49,पानीपत,Panipat
50,बाल गंगाधर तिलक,Bal Gangadhar Tilak
51,भारत,India
52,लाला लाजपत राय,Lala Lajpat Rai
53,साइमन कमीशन,Simon Commission
54,भारत,India
55,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
56,हरियाणा,Haryana
