,hindi,english
0,कर्नाटक,Karnataka
1,पद्म भूषण,Padma Bhushan
2,भारत,India
3,भारत के थलसेनाध्यक्ष,Chief of the Army Staff (India)
4,१९५४,1954
5,अशोक कामटे,Ashok Kamte
6,अशोक चक्र,Ashoka Chakra (military decoration)
7,आतंकवाद,Terrorism
8,कमांडो,Super Commando Dhruva
9,केरल,Kerala
10,तुकाराम ओंबले,Tukaram Omble
11,भारत,India
12,भारतीय सेना,Indian Armed Forces
13,राजस्थान,Rajasthan
14,हेमंत करकरे,Hemant Karkare
15,२००८ के मुंबई हमले,2008 Mumbai attacks
16,भारत,India
17,उच्चतम न्यायालय,Supreme court
18,कर्नाटक,Karnataka
19,भारत,India
20,लोकायुक्त,Lokayukta
