,hindi,english
0,अगस्त क्रांति आंदोलन,Quit India Movement
1,असहयोग आंदोलन,Non-cooperation movement
2,उपन्यास,Novel
3,कवि,Poet
4,पत्रकार,Journalist
5,बिहार,Bihar
6,भारत,India
7,भारतीय डाक सेवा,India Post
8,भारतीय स्वतंत्रता संग्राम,Indian independence movement
9,भूमिहर ब्राह्मण,Bhumihar
10,हजारीबाग,Hazaribagh
11,हिंदी साहित्य,Hindi literature
12,हिन्दी साहित्य,Hindi literature
13,१८९९,1899
14,१९६८,1968
15,२३ दिसंबर,December 23
16,७ सितंबर,September 7
17,नवीनचन्द्र रामगुलाम,Navin Ramgoolam
18,भारतीय संस्कृति,Culture of India
19,मारिशस,Mauritius
20,विश्व हिन्दी सचिवालय,World Hindi Secretariat
21,हिन्दी,Hindi
22,हिन्दी भाषा,Hindi
23,हिन्दू धर्म,Hinduism
24,उर्दू भाषा,Urdu
25,पाकिस्तान,Pakistan
26,बिहार,Bihar
27,भारत,India
28,भारतीय,Indian
29,भोपाल,Bhopal
30,मिर्ज़ा ग़ालिब,Ghalib
31,1996,1996
32,2008,2008
33,अयोध्या,Ayodhya
34,इतिहास,History
35,इरफान हबीब,Irfan Habib
36,जनता पार्टी,Janata Party
37,तुलसीदास,Tulsidas
38,पटना,Patna
39,पत्रकार,Journalist
40,प्रोफ़ेसर,Professor
41,बिहार,Bihar
42,बेगूसराय,Begusarai
43,भागलपुर,Bhagalpur
44,भारत,India
45,भारतीय इतिहास,History of India
46,महाभारत,Mahabharata
47,मार्क्सवादी इतिहास लेखन,Marxist historiography
48,मोतीलाल बनारसीदास,Motilal Banarsidass
49,वामपंथी,Left-wing politics
50,वाराणसी,Varanasi
51,विष्णु,Vishnu
52,सारनाथ,Sarnath
53,स्मृति,Smriti
54,हिन्दी,Hindi
