,hindi,english
0,खेल,Sport
1,पद्म भूषण,Padma Bhushan
2,पश्चिम बंगाल,West Bengal
3,भारत सरकार,Government of India
4,१९६७,1967
5,अर्जुन पुरस्कार,Arjuna Award
6,ओलम्पिक खेल,Olympic Games
7,कोलकाता,Kolkata
8,टेबल टेनिस,Table tennis
9,पश्चिम बंगाल,West Bengal
10,भारत,India
11,अंकिता दास,Ankita Das
12,अचंत शरत कमल,Sharath Kamal
13,इंडोनेशिया,Indonesia
14,कलकत्ता विश्वविद्यालय,University of Calcutta
15,कोलकाता,Kolkata
16,क्रोशिया,Crochet
17,टेबल टेनिस,Table tennis
18,पश्चिम बंगाल,West Bengal
19,भारत,India
20,ममता प्रभु,Mamta Prabhu
21,राष्ट्रमण्डल खेल,Commonwealth Games
22,वियतनाम,Vietnam
23,शामिनी कुमारेसन,Shamini Kumaresan
24,2012 ग्रीष्मकालीन ओलम्पिक,2012 Summer Olympics
25,टेबल टेनिस,Table tennis
26,पश्चिम बंगाल,West Bengal
27,सिलीगुड़ी,Siliguri
