,hindi,english
0,अकाल,Famine
1,अजमेर,Ajmer
2,इतिहास,History
3,उपाधि,Upadhi
4,कश्मीर,Kashmir
5,केसरी सिंह बारहट,Kesari Singh Barahath
6,कोटा,"Kota, Rajasthan"
7,क्षत्रिय,Kshatriya
8,चिकित्सा,Therapy
9,जिहाद,Jihad
10,दरबार,Darbar
11,दिल्ली,Delhi
12,नसीराबाद,"Nasirabad, Raibareli"
13,पत्र,Letter (message)
14,बादशाह,Baadshah
15,ब्यावर,Beawar
16,भारत,India
17,भारतीय,Indian
18,भोजन,Food
19,महाराजा,Maharaja
20,महाराणा,Maharana
21,मारवाड़,Marwar
22,मुसलमान,Muslims
23,मेवाड़,Mewar
24,राजपुताना,Rajputana
25,राजस्थान,Rajasthan
26,राजा,Monarch
27,राज्य,State (polity)
28,राष्ट्रीयता,Nationality
29,लाहौर,Lahore
30,वस्त्र,Textile
31,शिक्षा,Education
32,सिख,Sikhs
33,स्वाधीनता,Liberty
34,हिन्दू,Hindus
35,होली,Holi
36,ठाकुर डूंगर सिंह,Dungar Singh
37,भारत,India
38,राजस्थान,Rajasthan
39,अजमेर,Ajmer
40,उदयपुर,Udaipur
41,केसरी सिंह बारहठ,Kesari Singh Barahath
42,कोटा,"Kota, Rajasthan"
43,जयपुर,Jaipur
44,बरेली,Bareilly
45,भारत,India
46,राजस्थान,Rajasthan
47,रासबिहारी बोस,Rash Behari Bose
