,hindi,english
0,इलाहाबाद,Allahabad
1,दिसम्बर,December
2,परमवीर चक्र,Param Vir Chakra
3,भारतीय संसद,Parliament of India
4,संसद भवन,Parliament House (India)
5,उत्तर प्रदेश,Uttar Pradesh
6,एनी बेसेन्ट,Annie Besant
7,पाश्चात्य दर्शन,Western philosophy
8,भारत,India
9,वाराणसी,Varanasi
10,संस्कृत,Sanskrit
11,हिन्दी,Hindi
12,१८६९,1869
13,१९५८,1958
14,इलाहाबाद,Allahabad
15,कमला नेहरू,Kamala Nehru
16,कांग्रेस,Congress
17,कैम्ब्रिज विश्वविद्यालय,University of Cambridge
18,कोरियाई युद्ध,Korean War
19,गुट निरपेक्ष आंदोलन,Non-Aligned Movement
20,जयप्रकाश नारायण,Jayaprakash Narayan
21,जवाहर लाल नेहरू,Jawaharlal Nehru
22,पण्डित,Pandit
23,प्रधानमन्त्री,Prime minister
24,बाल दिवस,Children's Day
25,भारत,India
26,भारत एक खोज,Bharat Ek Khoj
27,भारत का संविधान,Constitution of India
28,भारत के प्रधानमन्त्री,Prime Minister of India
29,भारत रत्न,Bharat Ratna
30,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
31,भारतीय स्वतन्त्रता आन्दोलन,Indian independence movement
32,भीमराव आम्बेडकर,B. R. Ambedkar
33,महात्मा गांधी,Mahatma Gandhi
34,मोतीलाल नेहरू,Motilal Nehru
35,लंदन,London
36,लाहौर,Lahore
37,लोकतंत्र,Democracy
38,वल्लभ भाई पटेल,Vallabhbhai Patel
39,वल्लभभाई पटेल,Vallabhbhai Patel
40,संयुक्त राष्ट्र महासभा,United Nations General Assembly
41,सर्वपल्ली राधाकृष्णन,Sarvepalli Radhakrishnan
42,सुभाष चन्द्र बोस,Subhas Chandra Bose
43,स्वराज,Swaraj
44,होम रुल लीग,Home Rule League
45,अनिल शास्त्री,Anil Shastri
46,आगा खान पैलेस,Aga Khan Palace
47,इंग्लैण्ड,England
48,इन्दिरा गान्धी,Indira Gandhi
49,इलाहाबाद,Allahabad
50,उत्तर प्रदेश,Uttar Pradesh
51,कुलदीप नैयर,Kuldip Nayar
52,चीन,China (region)
53,जवाहरलाल नेहरू,Jawaharlal Nehru
54,ताशकन्द,Tashkent
55,दांडी मार्च,Salt March
56,दावानल,Wildfire
57,पाकिस्तान,Pakistan
58,पिता,Father
59,पुणे,Pune
60,प्रधानमन्त्री,Prime minister
61,भारत,India
62,भारत के प्रधानमन्त्री,Prime Minister of India
63,भारत छोड़ो आन्दोलन,Quit India Movement
64,भारत रत्न,Bharat Ratna
65,भारत सरकार,Government of India
66,भारतीय जनता पार्टी,Bharatiya Janata Party
67,मिर्ज़ापुर,Mirzapur
68,मृत्यु,Death
69,राष्ट्रपति,President (government title)
70,रूस,Russia
71,लाहौर,Lahore
72,शिक्षा,Education
73,सूचना,Information
74,सोवियत संघ,Soviet Union
75,हिन्दी,Hindi
