,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,एली एवराम,Elli AvrRam
2,जैकी चैन,Jackie Chan
3,सन्नी लियोन,Sunny Leone
4,हर्षिका पूनच्चा,Harshika Poonacha
5,हुमा क़ुरैशी (अभिनेत्री),Huma Qureshi (actress)
6,अनिल कपूर,Anil Kapoor
7,अन्नू कपूर,Annu Kapoor
8,अमरीश पुरी,Amrish Puri
9,अम्बाला,Ambala
10,इंटरनेट मूवी डेटाबेस,IMDb
11,नसीरुद्दीन शाह,Naseeruddin Shah
12,पटियाला,Patiala
13,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
14,शबाना आज़मी,Shabana Azmi
15,हरियाणा,Haryana
16,अम्बाला,Ambala
17,इंटरनेट मूवी डेटाबेस,IMDb
18,जनसंपर्क,Public relations
19,ट्विटर,Twitter
20,भारतीय,Indian
21,भारतीय थलसेना,Indian Army
22,यश राज फ़िल्म्स,Yash Raj Films
23,हरियाणा,Haryana
24,इंटरनेट मूवी डेटाबेस,IMDb
25,ओमेर्टा,Omerta (film)
26,काय पो छे!,Kai Po Che!
27,कृति खरबंदा,Kriti Kharbanda
28,पत्रलेखा,Patralekha Paul
29,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
30,लव सेक्स और धोखा,Love Sex Aur Dhokha
31,शादी में ज़रूर आना,Shaadi Mein Zaroor Aana
