,hindi,english
0,इटली,Italy
1,कुरुक्षेत्र,Kurukshetra
2,कुवैत,Kuwait
3,जाट,Jat people
4,बेल्जियम,Belgium
5,भारत,India
6,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
7,भिवानी,Bhiwani
8,मॉरिशस,Mauritius
9,यूनाइटेड किंगडम,European Charter for Regional or Minority Languages
10,राज्य सभा,Rajya Sabha
11,संजय गांधी,Sanjay Gandhi
12,सहारनपुर,Saharanpur
13,सेशेल्स,Seychelles
14,हरियाणा,Haryana
15,आदमपुर,Adampur
16,कुलदीप बिश्नोई,Kuldeep Bishnoi
17,पाकिस्तान,Pakistan
18,भारत,India
19,हरियाणा,Haryana
20,हरियाणा के मुख्यमंत्रियों की सूची,List of chief ministers of Haryana
21,हिसार,Hisar (city)
22,भारत,India
23,हरियाणा,Haryana
24,ओमप्रकाश चौटाला,Om Prakash Chautala
25,भारत के उप प्रधानमंत्री,Deputy Prime Minister of India
26,भूपेंद्र सिंह हुड्डा,Bhupinder Singh Hooda
27,राजीव गांधी,Rajiv Gandhi
28,रोहतक,Rohtak
29,विश्वनाथ प्रताप सिंह,Vishwanath Pratap Singh
30,हरियाणा,Haryana
31,हरियाणा के मुख्यमंत्रियों की सूची,List of chief ministers of Haryana
