,hindi,english
0,पद्म भूषण,Padma Bhushan
1,पश्चिम बंगाल,West Bengal
2,१९६२,1962
3,दिल्ली,Delhi
4,पद्म भूषण,Padma Bhushan
5,भारत,India
6,भारत सरकार,Government of India
7,राष्ट्रीय भौतिकी प्रयोगशाला,National Physical Laboratory of India
8,वैज्ञानिक एवं औद्योगिक अनुसंधान परिषद,Council of Scientific and Industrial Research
9,१९८९,1989
10,काली,Kali
11,बंगाल,Bengal
12,रामप्रसाद सेन,Ramprasad Sen
13,शाक्त,Shaktism
14,उपनिषद्,Upanishads
15,एकेश्वरवाद,Monotheism
16,तत्वबोधिनी सभा,Tattwabodini Sabha
17,बंगाल,Bengal
18,विधवा,Widow
19,विवाह,Marriage
20,वेद,Vedas
21,शान्तिनिकेतन,Shantiniketan
