,hindi,english
0,आम आदमी पार्टी,Aam Aadmi Party
1,किरण खेर,Kirron Kher
2,हिन्दी,Hindi
3,अभिनेता,Actor
4,फ़िल्मफ़ेयर सर्वश्रेष्ठ हास्य अभिनेता पुरस्कार,Filmfare Award for Best Performance in a Comic Role
5,लेखक,Writer
6,हिन्दी,Hindi
7,1956,1956
8,आदमी और इंसान,Aadmi Aur Insaan
9,कान फ़िल्मोत्सव,Cannes Film Festival
10,चेतन आनंद,Chetan Anand (badminton)
11,दो भाई,Do Bhai
12,दो रास्ते,Do Raaste
13,प्रेम नगर,Prem Nagar (1974 film)
14,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
15,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेत्री पुरस्कार,Filmfare Award for Best Actress
16,मनोज कुमार,Manoj Kumar
17,राजेश खन्ना,Rajesh Khanna
18,रोटी कपड़ा और मकान,Roti Kapda Aur Makaan
19,लाहौर,Lahore
20,विश्वास,Vishwas (film)
21,अभिनेता,Actor
