,hindi,english
0,भारत,India
1,महिला,Woman
2,सौंदर्य प्रतियोगिता,Beauty pageant
3,कलाकार,Artist
4,जमशेदपुर,Jamshedpur
5,झारखण्ड,Jharkhand
6,तमिल,Tamils
7,नई दिल्ली,New Delhi
8,बिहार,Bihar
9,भारत,India
10,विशाल भारद्वाज,Vishal Bhardwaj
11,अमृतसर,Amritsar
12,अहमदाबाद,Ahmedabad
13,इंडिगो,Indigo
14,उराँव,Kurukh people
15,एयर इंडिया,Air India
16,कर्क रेखा,Tropic of Cancer
17,कोयंबतूर,Coimbatore
18,कोलकाता,Kolkata
19,गुवाहाटी,Guwahati
20,गोएयर,GoAir
21,गोवा,Goa
22,चंडीगढ़,Chandigarh
23,चेन्नई,Chennai
24,छोटा नागपुर पठार,Chota Nagpur Plateau
25,जगन्नाथपुर मंदिर,"Jagannath Temple, Ranchi"
26,जमशेदपुर,Jamshedpur
27,जयपुर,Jaipur
28,जोन्हा जलप्रपात,Jonha Falls
29,झारखंड,Jharkhand
30,तिरुवनंतपुरम,Thiruvananthapuram
31,दशम जलप्रपात,Dassam Falls
32,दिल्ली,Delhi
33,नागपुर,Nagpur
34,पटना,Patna
35,पुणे,Pune
36,पुरी,Puri
37,पोर्ट ब्लेयर,Port Blair
38,बिरला इंस्टीट्यूट आफ़ टेक्नालजी,"Birla Institute of Technology, Mesra"
39,बिरसा मुंडा अंतरराष्ट्रीय विमानक्षेत्र,Birsa Munda Airport
40,बिहार,Bihar
41,बेंगलूर,Bangalore
42,बोकारो,Bokaro Steel City
43,ब्रिटिश राज,British Raj
44,भारत,India
45,भारतीय इस्पात प्राधिकरण,Steel Authority of India
46,भुवनेश्वर,Bhubaneswar
47,महानगर,Metropolitan area
48,महाराष्ट्र,Maharashtra
49,महेंद्र सिंह धोनी,MS Dhoni
50,मुंबई,Mumbai
51,मैसूर,Mysore
52,रवीन्द्रनाथ ठाकुर,Rabindranath Tagore
53,राँची विश्वविद्यालय,Ranchi University
54,राजधानी,Capital city
55,राजेन्द्र मेडिकल कालेज एवं अस्पताल,Rajendra Institute of Medical Sciences
56,लखनऊ,Lucknow
57,वाराणसी,Varanasi
58,विशाखापट्टनम,Visakhapatnam
59,श्रीनगर,Srinagar
60,सिपाही विद्रोह,Indian Rebellion of 1857
61,स्थापत्य,Architecture
62,हुन्डरु जलप्रपात,Hundru Falls
63,हेवी इंजिनयरिंग कारपोरेशन,Heavy Engineering Corporation
64,हैदराबाद,Hyderabad
65,कैलिफ़ोर्निया,California
66,फ़िल्म,Film
67,संयुक्त राज्य,United States
