,hindi,english
0,कूचबिहार,Cooch Behar
1,चक्रवर्ती राजगोपालाचारी,C. Rajagopalachari
2,जयपुर,Jaipur
3,तिहाड़ जेल,Tihar Jail
4,दिल्ली,Delhi
5,पोलो,Polo
6,बड़ौदा,Vadodara
7,महाराष्ट्र,Maharashtra
8,राजकुमार जगत सिंह,Jagat Singh (raja of Isarda)
9,राजनीति,Politics
10,लंदन,London
11,लोकसभा,Lok Sabha
12,स्वतंत्र पार्टी,Swatantra Party
13,स्विट्ज़रलैंड,Switzerland
14,डीडवाना,Didwana
15,बाड़मेर,"Barmer, Rajasthan"
16,भारतीय,Indian
17,राजनेता,Politician
18,विधायक,Member of the Legislative Assembly
19,शिव,Shiva
20,राजस्थान,Rajasthan
