,hindi,english
0,भारत,India
1,भारत के मुख्यमंत्रियों की सूची,List of current Indian chief ministers
2,राजस्थान,Rajasthan
3,राजस्थान के मुख्यमंत्री,List of chief ministers of Rajasthan
4,भारतीय जनता पार्टी,Bharatiya Janata Party
5,रतनगढ़,Ratangad
6,अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
7,"जिन्ना-इंडिया, पार्टिशन, इंडेपेंडेंस","Jinnah: India, Partition, Independence"
8,दार्जिलिंग,Darjeeling
9,बाड़मेर,"Barmer, Rajasthan"
10,भारत के रक्षा मंत्री,Minister of Defence (India)
11,भारत के विदेश मंत्री,Minister of External Affairs (India)
12,मेयो कॉलेज,Mayo College
13,यशवंत सिन्हा,Yashwant Sinha
14,राजस्थान,Rajasthan
15,सांसद,Member of parliament
16,बाड़मेर लोक सभा निर्वाचन क्षेत्र,Barmer (Lok Sabha constituency)
17,भारत,India
18,राजनेता,Politician
19,राजस्थान,Rajasthan
