,hindi,english
0,एम॰ जे॰ अकबर,M. J. Akbar
1,भारतीय,Indian
2,भारतीय जनता पार्टी,Bharatiya Janata Party
3,राजीव प्रताप रूडी,Rajiv Pratap Rudy
4,शाज़िया इल्मी,Shazia Ilmi
5,1980,1980
6,अखिल भारतीय जनसंघ,Bharatiya Jana Sangh
7,अखिल भारतीय विद्यार्थी परिषद,Akhil Bharatiya Vidyarthi Parishad
8,अटल बिहारी बाजपेयी,Atal Bihari Vajpayee
9,अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
10,अमर्त्य सेन,Amartya Sen
11,अमित शाह,Amit Shah
12,अयोध्या,Ayodhya
13,अरुणाचल प्रदेश,Arunachal Pradesh
14,असम,Assam
15,असम गण परिषद,Asom Gana Parishad
16,आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
17,आर्थिक संरक्षणवाद,Protectionism
18,इंडिया टुडे,India Today
19,इंदिरा गांधी,Indira Gandhi
20,उत्तर प्रदेश,Uttar Pradesh
21,उत्तराखंड,Uttarakhand
22,ऑल इण्डिया अन्ना द्रविड़ मुनेत्र कड़गम,All India Anna Dravida Munnetra Kazhagam
23,ओडिशा,Odisha
24,कर्नाटक,Karnataka
25,कल्याण सिंह,Kalyan Singh
26,कांग्रेस (ओ),Indian National Congress (Organisation)
27,कारसेवक,Kar Sevak
28,केरल,Kerala
29,गुजरात,Gujarat
30,गोधरा,Godhra
31,गोवा,Goa
32,छत्तीसगढ़,Chhattisgarh
33,जनता पार्टी,Janata Party
34,जननायक जनता पार्टी,Jannayak Janta Party
35,जम्मू और कश्मीर,Jammu and Kashmir (state)
36,जम्मू और कश्मीर पीपुल्स डेमोक्रेटिक पार्टी,Jammu and Kashmir Peoples Democratic Party
37,जयललिता,J. Jayalalithaa
38,जवाहर लाल नेहरू,Jawaharlal Nehru
39,झारखंड,Jharkhand
40,डेक्कन क्रॉनिकल,Deccan Chronicle
41,तमिलनाडु,Tamil Nadu
42,तेलंगाना,Telangana
43,तेलुगु देशम पार्टी,Telugu Desam Party
44,त्रिपुरा,Tripura
45,द हिन्दू,The Hindu
46,दक्षिण भारत,South India
47,दिल्ली,Delhi
48,दीनदयाल उपाध्याय,Deendayal Upadhyaya
49,नई दिल्ली,New Delhi
50,नरेन्द्र मोदी,Narendra Modi
51,नागा पीपुल्स फ्रंट,Naga People's Front
52,नागालैंड,Nagaland
53,नेशनल पीपल्स पार्टी,National Peoples Party (Pakistan)
54,नेशनलिस्ट डेमोक्रेटिक प्रोग्रेसिव पार्टी,Nationalist Democratic Progressive Party
55,पंजाब,Punjab
56,पश्चिम बंगाल,West Bengal
57,पुडुचेरी,Pondicherry
58,पॉल ब्रास,Paul Brass
59,प्रभात झा,Prabhat Jha (politician)
60,बंगारू लक्ष्मण,Bangaru Laxman
61,बाबर,Babur
62,बाबरी मस्जिद विध्वंस,Babri Masjid
63,बिहार,Bihar
64,बीजू जनता दल,Biju Janata Dal
65,भारत,India
66,भारत की राजनीति,Politics of India
67,भारतीय किसान संघ,Bharatiya Kisan Sangh
68,भारतीय जनसंघ,Bharatiya Jana Sangh
69,भारतीय पुलिस सेवा,Indian Police Service
70,भारतीय मजदूर संघ,Bharatiya Mazdoor Sangh
71,भारतीय राष्ट्रवाद,Indian nationalism
72,भारतीय लोक दल,Bharatiya Lok Dal
73,भारतीय संसद,Parliament of India
74,मणिपुर,Manipur
75,मध्य प्रदेश,Madhya Pradesh
76,मध्यप्रदेश,Madhya Pradesh
