,hindi,english
0,कन्नूर,Kannur
1,केरल,Kerala
2,केरल,Kerala
3,भारत,India
4,भारतीय कम्युनिस्ट पार्टी (मार्क्सवादी),Communist Party of India (Marxist)
5,मार्क्सवाद,Marxism
6,राजनेता,Politician
7,भारत,India
8,भारत के उपराष्ट्रपति,Vice President of India
9,भारत के राष्ट्रपति,President of India
10,भारत सरकार,Government of India
11,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
12,राज्य सूची,State List
13,लोक सभा,Lok Sabha
14,लोकसभा,Lok Sabha
15,विधान सभा,State Legislative Assembly (India)
16,संघ सूची,Union List
17,संविधान,Constitution
18,संसद भवन,Parliament House (India)
19,समवर्ती सूची,Concurrent List
20,भारत,India
