,hindi,english
0,जालंधर,Jalandhar
1,भारत,India
2,भारतीय,Indian
3,भारतीय जनता पार्टी,Bharatiya Janata Party
4,मुख्यमंत्री,Chief minister (India)
5,हमीरपुर,Hamirpur
6,हिमाचल प्रदेश,Himachal Pradesh
7,हिमाचल प्रदेश विधानसभा,Himachal Pradesh Legislative Assembly
8,पालमपुर,"Palampur, Himachal Pradesh"
9,भारत,India
10,भारतीय जनता पार्टी,Bharatiya Janata Party
11,हिमाचल प्रदेश,Himachal Pradesh
12,अध्यक्ष,Chairperson
13,पंद्रहवीं लोकसभा,15th Lok Sabha
14,भारत,India
15,भारत सरकार,Government of India
16,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
17,मनमोहन सिंह,Manmohan Singh
18,मुख्य मंत्री,Chief minister
19,विधान सभा,State Legislative Assembly (India)
20,शिमला,Shimla
21,संयुक्त राष्ट्र महासभा,United Nations General Assembly
22,हिमाचल प्रदेश,Himachal Pradesh
23,नितिन गडकरी,Nitin Gadkari
24,प्रेम कुमार धूमल,Prem Kumar Dhumal
25,भारत,India
26,भारतीय जनता पार्टी,Bharatiya Janata Party
27,हिमाचल प्रदेश,Himachal Pradesh
