,hindi,english
0,अर्थशास्त्र,Economics
1,केरल,Kerala
2,केरल विश्वविद्यालय,University of Kerala
3,भारत,India
4,भारतीय,Indian
5,भारतीय स्टेट बैंक,State Bank of India
6,मुंबई विश्वविद्यालय,University of Mumbai
7,लंदन,London
8,लंदन विश्वविद्यालय,University of London
9,कश्मीर,Kashmir
10,केरल,Kerala
11,जवाहरलाल नेहरू,Jawaharlal Nehru
12,दिल्ली,Delhi
13,नई दिल्ली,New Delhi
14,पद्म विभूषण,Padma Vibhushan
15,भारत,India
16,भारत-चीन युद्ध,Sino-Indian War
17,भारत के रक्षा मंत्री,Minister of Defence (India)
18,भारतीय राष्ट्रवाद,Indian nationalism
19,राज्य सभा,Rajya Sabha
20,लोक सभा,Lok Sabha
21,संयुक्त राष्ट्र,United Nations
22,संयुक्त राष्ट्र सुरक्षा परिषद,United Nations Security Council
23,सांसद,Member of parliament
24,मलयालम,Malayalam
25,लेखक,Writer
26,लोकसभा,Lok Sabha
27,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
