,hindi,english
0,उत्कल विश्वविद्यालय,Utkal University
1,ओडिशा,Odisha
2,नवीन पटनायक,Naveen Patnaik
3,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
4,ओडिशा,Odisha
5,बीजू जनता दल,Biju Janata Dal
6,भारत,India
7,आम चुनाव,Election
8,इंदिरा गांधी,Indira Gandhi
9,ओडिया,Oriya
10,ओडिशा,Odisha
11,कटक,Cuttack
12,कांग्रेस,Congress
13,कालिंदी चरण पाणिग्रही,Kalindi Charan Panigrahi
14,गोंदिया,Gondia
15,जगजीवन राम,Jagjivan Ram
16,जानकी बल्लभ पटनायक,Janaki Ballabh Patnaik
17,ढेंकनाल,Dhenkanal district
18,तथागत सत्पथी,Tathagata Satpathy
19,पुलिस,Police
20,प्रधानमंत्री,Prime minister
21,बीजू जनता दल,Biju Janata Dal
22,बीजू पटनायक,Biju Patnaik
23,भारत,India
24,भारतीय कम्युनिस्ट पार्टी,Communist Party of India
25,भारतीय संविधान,Constitution of India
26,भुवनेश्वर,Bhubaneswar
27,मंत्री,Minister (government)
28,मुख्यमंत्री,Chief minister (India)
29,रमा देवी,Rama Devi (Bihar politician)
30,राजस्थान,Rajasthan
31,राजीव गांधी,Rajiv Gandhi
32,राज्य सभा,Rajya Sabha
33,राज्यपाल,Governor
34,लज्जा,Shyness
35,विधानसभा,State Legislative Assembly (India)
36,संसद,Parliament of India
37,ओडिशा,Odisha
38,कटक,Cuttack
39,किरोड़ीमल महाविद्यालय,Kirori Mal College
40,जनता दल,Janata Dal
41,दून विद्यालय,The Doon School
42,बीजू जनता दल,Biju Janata Dal
43,बीजू पटनायक,Biju Patnaik
