,hindi,english
0,आचार्य बलदेव उपाध्याय,Baldev Upadhyaya
1,उत्तर प्रदेश,Uttar Pradesh
2,काशी हिन्दू विश्वविद्यालय,Banaras Hindu University
3,पद्म भूषण,Padma Bhushan
4,बलिया,Ballia
5,ब्राह्मण,Brahmin
6,भागवत पुराण,Bhagavata Purana
7,भारत,India
8,भारत सरकार,Government of India
9,संस्कृत,Sanskrit
10,संस्कृत साहित्य,Sanskrit literature
11,हिन्दी,Hindi
12,१९८४,1984
13,आकाशवाणी,All India Radio
14,उत्तर प्रदेश,Uttar Pradesh
15,उपन्यास,Novel
16,कहानी,Narrative
17,नाटक,Drama
18,पद्म भूषण,Padma Bhushan
19,भारत,India
20,भारत सरकार,Government of India
21,मार्क्सवाद,Marxism
22,रांगेय राघव,Rangeya Raghav
23,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
24,हिन्दी,Hindi
25,१९०३,1903
26,१९७१,1971
27,१९८८,1988
28,३० अगस्त,August 30
29,५ अक्टूबर,October 5
30,आचार्य रामचंद्र शुक्ल,Ramchandra Shukla
31,उर्दू भाषा,Urdu
32,कवि,Poet
33,काव्य,Poetry
34,खड़ीबोली,Khariboli
35,नाटक,Drama
36,पंजाबी,Punjabi
37,पत्रकारिता,Journalism
38,बलिया,Ballia
39,भारत,India
40,राजा शिवप्रसाद 'सितारेहिन्द',Raja Sivaprasad
41,लेखक,Writer
42,वैश्य,Vaishya
43,व्यंग्य,Parody
44,हिंदी साहित्य,Hindi literature
45,हिन्दी,Hindi
46,१८५०,1850
47,१८५७,1857
48,१८८०,1880
49,१८८५,1885
50,९ सितम्बर,September 9
51,अनामदास का पोथा,Anamdas Ka Potha
52,आलोचना,Criticism
53,इतिहास,History
54,उत्तर प्रदेश,Uttar Pradesh
55,"उत्तर प्रदेश हिन्दी संस्थान, लखनऊ",Uttar Pradesh Hindi Sansthan
56,उपन्यास,Novel
57,कबीर,Kabir
58,कुटज,Wrightia antidysenterica
59,क्षितिमोहन सेन,Kshitimohan Sen
60,ज्योतिष,Jyotiḥśāstra
61,दिल्ली,Delhi
62,नामवर सिंह,Namvar Singh
63,निबन्ध,Essay
64,पंजाब विश्वविद्यालय,Panjab University
65,पद्म भूषण,Padma Bhushan
66,पुनर्नवा,Boerhavia diffusa
67,बलिया,Ballia
68,बाङ्ला भाषा,Bengali language
69,भारत,India
70,लखनऊ विश्वविद्यालय,University of Lucknow
71,लेखक,Writer
72,संदेश रासक,Sandesh Rasak
73,संस्कृति,Culture
74,साहित्य,Literature
75,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
76,हजारी प्रसाद द्विवेदी,Hazari Prasad Dwivedi
77,हिंदी साहित्य,Hindi literature
78,हिन्दी,Hindi
79,१९५७,1957
