,hindi,english
0,खेल,Sport
1,ग्रांडमास्टर,Grandmaster (chess)
2,पद्म भूषण,Padma Bhushan
3,पद्म विभूषण,Padma Vibhushan
4,पद्म श्री,Padma Shri
5,भारत,India
6,भारत सरकार,Government of India
7,भारतीय,Indian
8,मैग्नस कार्लसन,Magnus Carlsen
9,राजीव गांधी खेल रत्न,Rajiv Gandhi Khel Ratna
10,शतरंज,Chess
11,दिल्ली,Delhi
12,नाटक,Drama
13,भारत,India
14,भारत सरकार,Government of India
15,मैसूर,Mysore
16,राष्ट्रपति,President (government title)
17,ललित कला अकादमी,Lalit Kala Akademi
18,संगीत,Music
19,कला,Art
20,पद्म भूषण,Padma Bhushan
21,१९५८,1958
22,कर्नाटक संगीत,Carnatic music
