,hindi,english
0,अंगद बेदी,Angad Bedi
1,अर्जुन पुरस्कार,Arjuna Award
2,तापसी पन्नू,Taapsee Pannu
3,दिलजीत दोसांझ,Diljit Dosanjh
4,भारत सरकार,Government of India
5,भारतीय हॉकी टीम,India men's national field hockey team
6,मैदानी हॉकी,Field hockey
7,सूरमा,Soorma (film)
8,हॉकी,Hockey
9,अर्जुन पुरस्कार,Arjuna Award
10,धनराज पिल्ले,Dhanraj Pillay
11,ध्यानचंद सिंह,Dhyan Chand
12,पद्म श्री,Padma Shri
13,परगट सिंह,Pargat Singh
14,फील्ड हॉकी,Field hockey
15,भारतीय हॉकी टीम,India men's national field hockey team
16,सिरसा,Sirsa
17,हरियाणा,Haryana
18,भारत सरकार,Government of India
