,hindi,english
0,केरल,Kerala
1,ओट्टापालम,Ottapalam
2,भारत के राष्ट्रीय सुरक्षा सलाहकार,National Security Advisor (India)
3,मनमोहन सिंह,Manmohan Singh
4,केरल,Kerala
5,चीन,China (region)
6,चोकिला अय्यर,Chokila Iyer
7,पुणे,Pune
8,पेरू,Peru
9,भारत,India
10,भारत के विदेश सचिव,Foreign Secretary of India
11,भारतीय विदेश सेवा,Indian Foreign Service
12,मलप्पुरम,Malappuram
13,महाराष्ट्र,Maharashtra
14,लखनऊ,Lucknow
15,शिवशंकर मेनन,Shivshankar Menon
16,श्रीलंका,Sri Lanka
17,संयुक्त राज्य अमेरिका,United States
18,सुजाता सिंह,Sujatha Singh
19,सुब्रह्मण्यम जयशंकर,Subrahmanyam Jaishankar
20,संयुक्त राष्ट्र,United Nations
