,hindi,english
0,कन्नड साहित्य सम्मेलन,Kannada Sahitya Sammelana
1,भारत,India
2,अभिनेता,Actor
3,हिन्दी,Hindi
4,अनु मलिक,Anu Malik
5,अभिजीत,Abhijeet
6,उदित नारायण,Udit Narayan
7,कर्नाटक,Karnataka
8,गायन,Singing
9,गुलशन कुमार,Gulshan Kumar
10,टी-सीरीज़,T-Series (company)
11,भजन,Bhajan
12,भारत सरकार,Government of India
13,मध्य प्रदेश सरकार,Government of Madhya Pradesh
14,महाराष्ट्र सरकार,Government of Maharashtra
15,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
16,लता मंगेशकर,Lata Mangeshkar
17,लता मंगेशकर पुरस्कार,Lata Mangeshkar Award
18,विवाह,Marriage
19,शास्त्रीय संगीत,Indian classical music
20,श्लोक,Shloka
21,सोनू निगम,Sonu Nigam
22,हिन्दी सिनेमा,Bollywood
