,hindi,english
0,ईगा,Eega
1,कर्नाटक,Karnataka
2,फ़िल्म निर्देशक,Film director
3,भारत,India
4,भारतीय,Indian
5,लेखक,Writer
6,१० अक्टूबर,October 10
7,१९७३,1973
8,इंटरनेट मूवी डेटाबेस,IMDb
9,भारत,India
10,इंटरनेट मूवी डेटाबेस,IMDb
11,भूत,Bhoot
12,मिया मालकोवा,Mia Malkova
13,रंगीला,Rangeela (1995 film)
14,रक्त चरित्र,Rakta Charitra
15,विजयवाड़ा,Vijayawada
16,सन्नी लियोन,Sunny Leone
17,सरकार,Government
18,उत्तर भारत,North India
19,दक्षिण भारत,South India
20,भारत सरकार,Government of India
21,मुम्बई,Mumbai
22,हैदराबाद,Hyderabad
