,hindi,english
0,असम,Assam
1,भारतीय जनता पार्टी,Bharatiya Janata Party
2,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
3,राजनीति,Politics
4,विधायक,Member of the Legislative Assembly
5,असम,Assam
6,असम गण परिषद,Asom Gana Parishad
7,"खेल एवं युवा मंत्रालय, भारत सरकार",Ministry of Youth Affairs and Sports
8,ट्विटर,Twitter
9,फेसबुक,Facebook
10,बांग्लादेश,Bangladesh
11,भारत,India
12,भारतीय जनता पार्टी,Bharatiya Janata Party
13,राष्ट्रीय स्वयंसेवक संघ,Rashtriya Swayamsevak Sangh
14,लोक सभा,Lok Sabha
15,सर्बानंद सोनोवाल,Sarbananda Sonowal
16,सांसद,Member of parliament
17,असम,Assam
18,भारत,India
19,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
20,राष्ट्रपति शासन,President's rule
21,बोडो लोग,Boro people
22,ब्राह्म धर्म,Brahmoism
