,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,बजरंगी भाईजान,Bajrangi Bhaijaan
2,बिग बॉस,Bigg Boss (Hindi TV series)
3,रोर (फ़िल्म),Roar: Tigers of the Sundarbans
4,उमराव जान,Umrao Jaan (1981 film)
5,कथक,Kathak
6,कालिदास सम्मान,Kalidas Samman
7,नई दिल्ली,New Delhi
8,पद्म विभूषण,Padma Vibhushan
9,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
10,भारत,India
11,लखनऊ,Lucknow
12,लच्छू महाराज,Lachhu Maharaj
13,शंभु महाराज,Shambhu Maharaj
14,शतरंज के खिलाड़ी,The Chess Players (Eakins painting)
15,संगीत नाटक अकादमी,Sangeet Natak Akademi
16,१९३८,1938
17,४ फ़रवरी,February 4
18,कथक,Kathak
19,लखनऊ,Lucknow
20,१९०१,1901
21,१९७८,1978
