,hindi,english
0,अभिनेता,Actor
1,ओमकारा,Omkara (2006 film)
2,कंपनी,Company
3,क्रिश 3,Krrish 3
4,ग्रांड मस्ती,Grand Masti
5,पीएम नरेंद्र मोदी,PM Narendra Modi
6,फिल्म,Film
7,मस्ती,Fun
8,रक्त चरित्र,Rakta Charitra
9,राम गोपाल वर्मा,Ram Gopal Varma
10,साथिया,Saathiya (film)
11,हिन्दी,Hindi
12,इंडियन प्रीमियर लीग,Indian Premier League
13,ईएसपीएन,ESPN
14,ईएसपीएन क्रिकइन्फो,ESPNcricinfo
15,क्रिकेट,Cricket
16,मनोविज्ञान,Psychology
17,इंग्लैंड क्रिकेट टीम,England cricket team
18,एक दिवसीय अंतर्राष्ट्रीय,One Day International
19,गुंटूर,Guntur
20,ज़िम्बाब्वे क्रिकेट टीम,Zimbabwe national cricket team
21,भारत,India
22,मुंबई इंडियंस,Mumbai Indians
23,लक्ष्मीपति बालाजी,Lakshmipathy Balaji
24,ऑस्ट्रेलिया,Australia
25,नागपुर,Nagpur
26,पाकिस्तान,Pakistan
27,श्रीलंका,Sri Lanka
