,hindi,english
0,धनराज पिल्ले,Dhanraj Pillay
1,ध्यानचंद सिंह,Dhyan Chand
2,परगट सिंह,Pargat Singh
3,भारत,India
4,भारतीय ओलम्पिक संघ,Indian Olympic Association
5,हॉकी,Hockey
6,दिल्ली,Delhi
7,पद्म भूषण,Padma Bhushan
8,भारत,India
9,भारत सरकार,Government of India
10,२००७,2007
11,उपनाम,Surname
12,एशियाई खेल,Asian Games
13,जीव मिलखा सिंह,Jeev Milkha Singh
14,टोक्यो,Tokyo
15,पाकिस्तान,Pakistan
16,भाग मिल्खा भाग,Bhaag Milkha Bhaag
17,भारत,India
18,राकेश ओमप्रकाश मेहरा,Rakeysh Omprakash Mehra
19,रोम,Rome
20,सिख,Sikhs
21,१९३५,1935
22,१९५८,1958
23,१९६२,1962
24,एशिया,Asia
25,पद्म श्री,Padma Shri
26,बास्केटबॉल,Basketball
