,hindi,english
0,ऑस्ट्रेलिया,Australia
1,गढ़वाल,Garhwal
2,गढ़वाल विश्वविद्यालय,Hemwati Nandan Bahuguna Garhwal University
3,गूगल स्कॉलर,Google Scholar
4,दिल्ली विश्वविद्यालय,University of Delhi
5,नई दिल्ली,New Delhi
6,पीएचडी,Doctor of Philosophy
7,बहरीन,Bahrain
8,भारत,India
9,भारत सरकार,Government of India
10,भारतीय,Indian
11,मलेशिया,Malaysia
12,लेखक,Writer
13,लेखाकरण,Accounting
14,वाणिज्य,Commerce
15,शिक्षक,Teacher
16,चिपको आन्दोलन,Chipko movement
17,अम्बा,Amba (Mahabharata)
18,अम्बालिका,Ambalika
19,अर्जुन,Arjuna
20,उत्तर प्रदेश,Uttar Pradesh
21,कुन्ती,Kunti
22,कुरु,Kuru Kingdom
23,गंगा,Ganges
24,गंगा देवी,Ganga in Hinduism
25,चित्रांगद,Chitrāngada
26,जनमेजय,Janamejaya
27,देश,Country
28,परीक्षित,Parikshit
29,पाण्डु,Pandu
30,भारत,India
31,भीष्म,Bhishma
32,महाभारत,Mahabharata
33,युधिष्ठिर,Yudhishthira
34,विचित्रवीर्य,Vichitravirya
35,शान्तनु,Shantanu
36,सुभद्रा,Subhadra
37,अगस्त्य,Agastya
38,अर्जुन,Arjuna
39,अवतार,Avatar
40,असम,Assam
41,अहमदिया,Ahmadiyya
42,आत्मा,Soul
43,इंडोनेशिया,Indonesia
44,इंद्र,Indra
45,इब्राहीम,Abraham
46,इस्कॉन,International Society for Krishna Consciousness
47,उडुपी,Udupi
48,उत्तरा,Uttara
49,उपनिषद,Upanishads
50,एकनाथ,Eknath
51,एशिया,Asia
52,ओडिशा,Odisha
53,ओडिसी,Odissi
54,कंबोडिया,Cambodia
55,कंस,Kamsa
56,कथक,Kathak
57,कर्म,Karma
58,कलियुग,Kali Yuga
59,काली,Kali
60,कुरु,Kuru Kingdom
61,कुरुक्षेत्र,Kurukshetra
62,कुरुक्षेत्र युद्ध,Kurukshetra War
63,कृष्ण,Krishna
64,कृष्ण पक्ष,New moon
65,केरल,Kerala
66,कैंडी,Kandy
67,क्षत्रिय,Kshatriya
68,गांधारी,Gandhari (character)
69,गाण्डीव,Gandiva
70,गीत गोविंद,Gita Govinda
71,गीता,Bhagavad Gita
72,गुरु,Guru
73,गुरु गोबिंद सिंह,Guru Gobind Singh
74,गोकुल,Gokul
75,चेन्नई,Chennai
76,जनाबाई,Janabai
77,जरासंध,Jarasandha
78,जावा,Java (disambiguation)
79,जैन धर्म,Jainism
80,ज्ञानेश्वर,Dnyaneshwar
81,तमिल,Tamils
82,तीर्थंकर,Tirthankara
83,तुकाराम,Tukaram
84,थाइलैंड,Thailand
85,थाईलैंड,Thailand
86,दक्षिण एशिया,South Asia
87,दर्शन,Philosophy
88,दशावतार,Dashavatara
89,दीक्षा,Diksha
90,दुर्गा,Durga
91,दुर्योधन,Duryodhana
92,देवकी,Devaki
93,देवता,Deva (Hinduism)
94,देवी,Goddess
95,द्वापरयुग,Dvapara Yuga
96,द्वारका,Dwarka
97,धर्म,Dharma
98,धर्मशास्त्र,Dharmaśāstra
99,नंदी,Nandi (mythology)
100,नन्द,Family
101,नामदेव,Namdev
102,नेपाल,Nepal
103,नेमिनाथ,Neminatha
104,न्यूयॉर्क,New York (state)
105,परीक्षित,Parikshit
106,पश्चिम बंगाल,West Bengal
107,पांडव,Pandava
108,पांडु,Pandu
109,पुराण,Puranas
110,पूजा,Puja (Hinduism)
111,प्रभुपाद,A. C. Bhaktivedanta Swami Prabhupada
112,बरगद,Banyan
113,बलराम,Balarama
114,बहाई,Baháʼí Faith
115,बांसुरी,Flute
116,बीटल्स,The Beatles
117,बुद्ध,Gautama Buddha
118,बौद्ध धर्म,Buddhism
119,ब्रह्मा,Brahma
120,ब्रह्मांड,Universe
121,ब्राह्मण,Brahmin
122,ब्राह्मी लिपि,Brahmi script
123,भक्ति आंदोलन,Bhakti movement
124,भक्ति योग,Bhakti yoga
125,भगवद गीता,Bhagavad Gita
126,भगवद् गीता,Bhagavad Gita
127,भगवद्गीता,Bhagavad Gita
128,भगवान,Bhagavan
129,भद्रा,Bhadra
130,भरतनाट्यम,Bharatanatyam
131,भागवत,Bhagavata Purana
132,भागवत पुराण,Bhagavata Purana
133,भाद्रपद,Bhadra (Hindu calendar)
134,भारत,India
135,भारतीय,Indian
136,भीष्म,Bhishma
137,मथुरा,Mathura
138,मधुसूदन सरस्वती,Madhusūdana Sarasvatī
139,मध्य प्रदेश,Madhya Pradesh
140,महाभारत,Mahabharata
141,महाराष्ट्र,Maharashtra
142,मूर्ति,Murti
143,यशोदा,Yashoda
144,यीशु,Jesus
145,युग,Yuga
146,योग,Yoga
147,राजस्थान,Rajasthan
148,राधा,Radha
149,राधा कृष्ण,Radha Krishna
150,राम,Rama
151,रामानुज,Ramanuja
152,रामायण,Ramayana
153,रुक्मिणी,Rukmini
154,लंदन,London
155,लक्ष्मी,Lakshmi
156,वसुदेव,Vasudeva
157,विठोबा,Vithoba
158,विदुर,Vidura
159,वियतनाम,Vietnam
160,विष्णु,Vishnu
161,विष्णु पुराण,Vishnu Purana
162,वृंदावन,Vrindavan
163,वेद,Vedas
164,वेदव्यास,Vyasa
165,वेदान्त,Vedanta
166,वैष्णव,Vaishnavism
167,व्यास,Vyasa (disambiguation)
168,शंकराचार्य,Shankaracharya
169,शक्ति,Power
170,शास्त्रीय नृत्य,Indian classical dance
171,शिया,Shia Islam
172,शिव,Shiva
173,श्रीनाथजी,Shrinathji
174,श्रीमद्भगवदगीता,Bhagavad Gita
175,संस्कृत,Sanskrit
176,सत्यभामा,Satyabhama
177,सांख्य,Samkhya
178,सुदर्शन चक्र,Sudarshana Chakra
179,सुन्नी,Sunni Islam
180,सुभद्रा,Subhadra
181,सूर्य,Sun
182,सौराष्ट्र,Saurashtra (region)
183,हरिवंश,Harivamsa
184,हिंदू धर्म,Hinduism
185,हिन्दू धर्म,Hinduism
