,hindi,english
0,आहट,Aahat
1,ब्रह्मराक्षस - जाग उठा शैतान,Brahmarakshas
2,भारत,India
3,हिन्दी,Hindi
4,अभिनेता,Actor
5,पटना,Patna
6,पटना साहिब लोक सभा निर्वाचन क्षेत्र,Patna Sahib (Lok Sabha constituency)
7,"भारतीय आम चुनाव, 2014",2014 Indian general election
8,"भारतीय आम चुनाव, २००९",2009 Indian general election
9,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
10,राजनीति,Politics
11,शेखर सुमन,Shekhar Suman
12,हिन्दी,Hindi
13,अभिनेता,Actor
14,अमृता प्रीतम,Amrita Pritam
15,आशुतोष राणा,Ashutosh Rana
16,ऋतिक रोशन,Hrithik Roshan
17,कुणाल खेमू,Kunal Khemu
18,गैंग्स ऑफ वासेपुर – भाग 1,Gangs of Wasseypur – Part 1
19,तिग्मांशु धूलिया,Tigmanshu Dhulia
20,नील नितिन मुकेश,Neil Nitin Mukesh
21,प्रकाश झा,Prakash Jha
22,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
23,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार - आलोचक,Filmfare Critics Award for Best Actor
24,बिहार,Bihar
25,भारत,India
26,महेश भट्ट,Mahesh Bhatt
27,राजनीति,Politics
28,राष्ट्रीय नाट्य विद्यालय,National School of Drama
29,रोहित रॉय,Rohit Roy
30,शेखर कपूर,Shekhar Kapur
31,संजय दत्त,Sanjay Dutt
32,१९९९,1999
33,अभिनेता,Actor
34,फ़िल्म,Film
35,बिहार,Bihar
36,भारत,India
37,भारतीय,Indian
