,hindi,english
0,टेस्ट क्रिकेट,Test cricket
1,भारत,India
2,इंडियन प्रीमियर लीग,Indian Premier League
3,गौतम गंभीर,Gautam Gambhir
4,जीएमआर समूह,GMR Group
5,दिल्ली,Delhi
6,दिल्ली डेयरडेविल्स,Delhi Capitals
7,रायपुर अंतरराष्ट्रीय क्रिकेट स्टेडियम,Shaheed Veer Narayan Singh International Cricket Stadium
8,श्रेयस अय्यर,Shreyas Iyer
9,२००८,2008
10,२००८ इंडियन प्रीमियर लीग,2008 Indian Premier League
11,२०१८ इंडियन प्रीमियर लीग,2018 Indian Premier League
12,एक दिवसीय अंतरराष्ट्रीय,One Day International
13,भारत,India
14,भारतीय,Indian
15,श्रीलंका क्रिकेट टीम,Sri Lanka national cricket team
16,इंडियन प्रीमियर लीग,Indian Premier League
17,चेन्नई,Chennai
18,चेन्नई सुपर किंग्स,Chennai Super Kings
19,डेक्कन चार्जर्स,Deccan Chargers
20,बैंगलोर,Bangalore
21,रॉयल चैलेंजर्स बैंगलौर,Royal Challengers Bangalore
22,विराट कोहली,Virat Kohli
23,सनराइजर्स हैदराबाद,Sunrisers Hyderabad
24,हैदराबाद,Hyderabad
