,hindi,english
0,अंतरिक्ष अनुप्रयोग केंद्र,Space Applications Centre
1,"अर्धचालक प्रयोगशाला, चंडीगढ़",Semi-Conductor Laboratory
2,इसरो उपग्रह केंद्र,U R Rao Satellite Centre
3,भारतीय अंतरिक्ष अनुसंधान संगठन,Indian Space Research Organisation
4,भारतीय अन्तरिक्ष विज्ञान एवं प्रौद्योगिकी संस्थान,Indian Institute of Space Science and Technology
5,भारतीय सुदूर संवेदन संस्थान,Indian Institute of Remote Sensing
6,भौतिक अनुसंधान प्रयोगशाला,Physical Research Laboratory
7,महेंद्रगिरि,Mahendragiri
8,मुख्य नियंत्रण सुविधा,Master Control Facility
9,राष्ट्रीय वायुमण्डलीय अनुसंधान प्रयोगशाला,National Atmospheric Research Laboratory
10,विक्रम साराभाई अंतरिक्ष केंद्र,Vikram Sarabhai Space Centre
11,सतीश धवन अंतरिक्ष केंद्र,Satish Dhawan Space Centre
12,दिल्ली,Delhi
13,पद्म भूषण,Padma Bhushan
14,भारत,India
15,भारत सरकार,Government of India
16,१९८६,1986
17,भवन,Building
18,संयुक्त राज्य अमेरिका,United States
19,तमिल,Tamils
