,hindi,english
0,अंतरराष्ट्रीय अध्ययन,International studies
1,अरुण जेटली,Arun Jaitley
2,इन्दिरा गांधी,Indira Gandhi
3,जवाहरलाल नेहरू विश्वविद्यालय,Jawaharlal Nehru University
4,तमिल,Tamils
5,तिरुचिरापल्ली,Tiruchirappalli
6,नरेन्द्र मोदी,Narendra Modi
7,प्राइसवॉटरहाउस कूपर्स,PricewaterhouseCoopers
8,बीबीसी,BBC
9,भारत,India
10,भारतीय जनता पार्टी,Bharatiya Janata Party
11,लंदन स्कूल ऑफ़ इकोनॉमिक्स,London School of Economics
12,विवाह,Marriage
13,हैदराबाद,Hyderabad
14,एस रामदास,S. Ramadoss
15,मनमोहन सिंह,Manmohan Singh
16,राज्य सभा,Rajya Sabha
17,भारत,India
18,भारतीय जनता पार्टी,Bharatiya Janata Party
