,hindi,english
0,न्यूज़ नेशन,News Nation
1,अभिनेता,Actor
2,अमिताभ बच्चन,Amitabh Bachchan
3,आफ़ताब शिवदासानी,Aftab Shivdasani
4,इंटरनेट मूवी डेटाबेस,IMDb
5,ओम शांति ओम,Om Shanti Om
6,कभी अलविदा ना कहना,Kabhi Alvida Naa Kehna
7,जबलपुर,Jabalpur
8,टोरंटो अंतर्राष्ट्रीय फ़िल्म समारोह,Toronto International Film Festival
9,दिल है तुम्हारा,Dil Hai Tumhaara
10,प्राण,Prana
11,प्रियंका चोपड़ा,Priyanka Chopra
12,प्रीति ज़िंटा,Preity Zinta
13,फ़िल्मफ़ेयर सर्वश्रेष्ठ सहायक अभिनेता पुरस्कार,Filmfare Award for Best Supporting Actor
14,बॉलीवुड,Bollywood
15,बोमन ईरानी,Boman Irani
16,भारत,India
17,मध्य प्रदेश,Madhya Pradesh
18,मेहर जेसिया,Mehr Jesia
19,रानी मुखर्जी,Rani Mukerji
20,रॉक ऑन!!,Rock On!!
21,लंदन,London
22,शाहरुख़ ख़ान,Shah Rukh Khan
23,सुनील शेट्टी,Suniel Shetty
24,सैफ़ अली ख़ान,Saif Ali Khan
25,सोनाली कुलकर्णी,Sonali Kulkarni
26,अभिनेता,Actor
27,इंटरनेट मूवी डेटाबेस,IMDb
28,1999,1999
29,2000,2000
30,अभिनेता,Actor
31,इंटरनेट मूवी डेटाबेस,IMDb
32,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
33,फ़िल्मफ़ेयर सर्वश्रेष्ठ खलनायक पुरस्कार,Filmfare Award for Best Performance in a Negative Role
