,hindi,english
0,ज्ञानपीठ पुरस्कार,Jnanpith Award
1,पद्म भूषण,Padma Bhushan
2,महाराष्ट्र,Maharashtra
3,१९५९,1959
4,खादी,Khadi
5,दार्जिलिंग,Darjeeling
6,पद्मजा नायडू हिमालयन प्राणी उद्यान,Padmaja Naidu Himalayan Zoological Park
7,पश्चिम बंगाल,West Bengal
8,भारत,India
9,भारत छोड़ो आंदोलन,Quit India Movement
10,भारतीय राष्ट्रीय काँग्रेस,Indian National Congress
11,सरोजिनी नायडू,Sarojini Naidu
12,हैदराबाद,Hyderabad
13,अभिनेता,Actor
14,इंटरनेट मूवी डेटाबेस,IMDb
15,करीमनगर,Karimnagar
16,तेलंगाना,Telangana
17,दादासाहेब फाल्के पुरस्कार,Dadasaheb Phalke Award
18,सरोजिनी नायडू,Sarojini Naidu
19,हिन्दी,Hindi
