,hindi,english
0,इंडियन प्रीमियर लीग,Indian Premier League
1,इरफ़ान पठान,Irfan Pathan
2,एक दिवसीय अंतरराष्ट्रीय,One Day International
3,एडम गिलक्रिस्ट,Adam Gilchrist
4,ऑस्ट्रेलिया,Australia
5,कलाई,Wrist
6,केविन पीटरसन,Kevin Pietersen
7,कैंडी,Kandy
8,कोलंबो,Colombo
9,क्रिकेट,Cricket
10,ग्लेन मैकग्रा,Glenn McGrath
11,चेन्नई,Chennai
12,चेन्नई सुपर किंग्स,Chennai Super Kings
13,टी-20,Twenty20
14,डीन जोन्स,Dean Jones (cricketer)
15,पाकिस्तान,Pakistan
16,बारबाडोस,Barbados
17,बिशन सिंह बेदी,Bishan Singh Bedi
18,भारत,India
19,युवराज सिंह,Yuvraj Singh
20,राजस्थान रॉयल्स,Rajasthan Royals
21,रिचर्ड हैडली,Richard Hadlee
22,लाहौर,Lahore
23,वसीम अकरम,Wasim Akram
24,विकेट कीपर,Wicket-keeper
25,विराट कोहली,Virat Kohli
26,शेन वॉर्न,Shane Warne
27,श्रीलंका,Sri Lanka
28,संयुक्त राष्ट्र,United Nations
29,सचिन तेंदुलकर,Sachin Tendulkar
30,सर डोनाल्ड ब्रेडमैन,Don Bradman
31,होबार्ट,Hobart
32,एक दिवसीय अंतर्राष्ट्रीय,One Day International
33,काउंटी क्रिकेट,County Championship
34,क्रिकेट विश्व कप,Cricket World Cup
35,क्लाइव लॉयड,Clive Lloyd
36,गुयाना,Guyana
37,डेसमंड हेन्स,Desmond Haynes
38,प्रथम श्रेणी क्रिकेट,First-class cricket
39,वेस्टइंडीज़ क्रिकेट टीम,West Indies cricket team
40,अटलांटिक महासागर,Atlantic Ocean
41,अमेज़न नदी,Amazon River
42,ओरिनोको नदी,Orinoco
43,क्रिस्टोफ़र कोलम्बस,Christopher Columbus
44,गणराज्य,Republic
45,सूरीनाम,Suriname
