,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,12 जुलाई,July 12
2,1928,1928
3,1993,1993
4,2012,2012
5,अंग्रेजी,English language
6,अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
7,अभिनेता,Actor
8,अमरीका,United States
9,अमृतसर,Amritsar
10,आत्मकथा,Autobiography
11,किंग काँग,Emile Czaja
12,कुआला लंपुर,Kuala Lumpur
13,गुरुवार,Thursday
14,जैल सिंह,Zail Singh
15,नई दिल्ली,New Delhi
16,न्यूजीलैण्ड,New Zealand
17,पहलवान,Pehlwani
18,भारत,India
19,मुम्बई,Mumbai
20,मृत्यु,Death
21,मेरठ,Meerut
22,राज्य सभा,Rajya Sabha
23,लेखक,Writer
24,सांसद,Member of parliament
25,सिंगापुर,Singapore
26,हिन्दी,Hindi
27,इंटरनेट मूवी डेटाबेस,IMDb
28,हिन्दी,Hindi
29,अनिल कपूर,Anil Kapoor
30,आनन्द मठ,Anandamath
31,चेचक,Smallpox
32,पृथ्वीराज कपूर,Prithviraj Kapoor
33,बोनी कपूर,Boney Kapoor
34,राज कपूर,Raj Kapoor
35,शम्मी कपूर,Shammi Kapoor
36,सिख,Sikhs
