,hindi,english
0,तिब्बत,Tibet
1,१९३५,1935
2,१९८७,1987
3,२१ सितंबर,September 21
4,६ जुलाई,July 6
5,इंदिरा गांधी शांति पुरस्कार,Indira Gandhi Prize
6,नादिया मुराद,Nadia Murad
7,नॉर्वे,Norway
8,नॉर्वेजियाई भाषा,norsk
9,नोबेल पुरस्कार,Nobel Prize
10,नोबेल पुरस्कार विजेताओं की सूची,List of Nobel laureates
11,नोबेल शांति पुरस्कार,Nobel Peace Prize
12,स्वीडन,Sweden
13,स्वीडिश भाषा,Swedish language
14,काव्य,Poetry
15,भारत,India
16,लाला लाजपत राय,Lala Lajpat Rai
17,लाला हरदयाल,Har Dayal
18,लाहौर,Lahore
19,हिमाचल प्रदेश,Himachal Pradesh
20,चीन,China (region)
21,पर्यावरण संरक्षण,Environmental protection
22,हिमाचल प्रदेश,Himachal Pradesh
