,hindi,english
0,अमेरिका,United States
1,इंद्रा नूई,Indra Nooyi
2,कंपनी,Company
3,चीन,China (region)
4,चेन्नई,Chennai
5,तमिलनाडु,Tamil Nadu
6,पद्म भूषण,Padma Bhushan
7,पेप्सिको,PepsiCo
8,बराक ओबामा,Barack Obama
9,भारत,India
10,भारत सरकार,Government of India
11,भारतीय,Indian
12,"भारतीय प्रबंध संस्थान, कोलकाता",Indian Institute of Management Calcutta
13,मद्रास,Chennai
14,महिला,Woman
15,मुख्य कार्यकारी अधिकारी,Chief executive officer
16,दक्षिण भारत,South India
17,भारत,India
18,टाटा कंसल्टेंसी सर्विसेज,Tata Consultancy Services
19,टाटा मोटर्स,Tata Motors
20,टाटा संस,Tata Sons
21,टाटा समूह,Tata Group
22,पारसी,Parsis
23,भारत,India
24,तमिल नाडु,Tamil Nadu
