,hindi,english
0,अंगद,Angada
1,अयोध्या,Ayodhya
2,अवतार,Avatar
3,कुश,Kusha (Ramayana)
4,दशरथ,Dasharatha
5,भरत,Bharat (disambiguation)
6,राक्षस,Rakshasa
7,राम,Rama
8,रामायण,Ramayana
9,वाल्मीकि,Valmiki
10,शत्रुघ्न,Shatrughna
11,शेषनाग,Shesha
12,सीता,Sita
13,सुमित्रा,Sumitra
14,अंगद,Angada
15,अक्षय कुमार,Akshay Kumar
16,अगस्त्य,Agastya
17,अत्रि,Atri
18,अध्यात्म रामायण,Adhyatma Ramayana
19,अनसूया,Anasuya
20,अन्त्येष्टि क्रिया,Antyesti
21,अयोध्या,Ayodhya
22,अरण्यकाण्ड,Araṇya-Kāṇḍa
23,अवतार,Avatar
24,आरती,Aarti
25,आश्रम,Ashrama (stage)
26,ऋतु,Season
27,कलियुग,Kali Yuga
28,कल्प,Kalpa (aeon)
29,कालनेमि,Kalanemi (Ramayana)
30,कुम्भकर्ण,Kumbhakarna
31,कैकेयी,Kaikeyi
32,कौशल्या,Kausalya
33,खर-दूषण,Khara (Ramayana)
34,खीर,Kheer
35,गंगा नदी,Ganges
36,गन्धर्व,Gandharva
37,गरुड़,Garuda
38,गुरु,Guru
39,गौतम,Gotama
40,गौतम बुद्ध,Gautama Buddha
41,जटायु,Jatayu
42,जनक,Janaka
43,जनकपुर,Janakpur
44,जाम्बवन्त,Jambavan
45,ताड़का,Tataka
46,तुलसीदास,Tulsidas
47,त्रिजटा,Trijata
48,त्रेता युग,Treta Yuga
49,त्रेतायुग,Treta Yuga
50,दर्शन,Philosophy
51,दशरथ,Dasharatha
52,देवता,Deva (Hinduism)
53,द्वापर युग,Dvapara Yuga
54,धर्म,Dharma
55,नील,Indigo dye
56,न्याय,Justice
57,पंचवटी,Panchavati
58,पाणिनि,Pāṇini
59,पार्वती,Parvati
60,पुत्रकामेष्टि,Putrakameshti
61,पुनर्जन्म,Reincarnation
62,पुराण,Puranas
63,पूजा,Puja (Hinduism)
64,बाण,Arrow
65,बालि,Vali (Ramayana)
66,बौद्ध धर्म,Buddhism
67,ब्रह्मलोक,Brahmaloka
68,ब्राह्मण,Brahmin
69,भक्ति,Bhakti
70,भरत,Bharat (disambiguation)
71,मन्त्र,Mantra
72,मन्थरा,Manthara
73,मन्दोदरी,Mandodari
74,मन्वन्तर,Manvantara
75,महाकाव्य,Mahakavya
76,महाभारत,Mahabharata
77,माण्डवी,Mandavi
78,मारीच,Maricha
79,मिथिला,Mithila (proposed Indian state)
80,मीमांसा,Mīmāṃsā
81,मेघनाद,Indrajit
82,मैथिलीशरण गुप्त,Maithili Sharan Gupt
83,यज्ञ,Yajna
84,युग,Yuga
85,योग,Yoga
86,रघुवंश,Raghuvamsa (disambiguation)
87,राक्षस,Rakshasa
88,राज्याभिषेक,Rājyābhiṣeka
89,राम,Rama
90,रावण,Ravana
91,लंका,Lanka
92,लंकिनी,Lankini
93,लक्ष्मण,Lakshmana
94,वशिष्ठ,Vasishtha
95,वाल्मीकि,Valmiki
