,hindi,english
0,आनंद बख्शी,Anand Bakshi
1,आर के नारायण,R. K. Narayan
2,इंटरनेट मूवी डेटाबेस,IMDb
3,कला,Art
4,कल्पना कार्तिक,Kalpana Kartik
5,कामिनी कौशल,Kamini Kaushal
6,किशोर कुमार,Kishore Kumar
7,ज़ीनत अमान,Zeenat Aman
8,टीना मुनीम,Tina Ambani
9,तेरे मेरे सपने,Tere Mere Sapne
10,दादासाहेब फाल्के पुरस्कार,Dadasaheb Phalke Award
11,दिलीप कुमार,Dilip Kumar
12,देव आनंद,Dev Anand
13,पद्म भूषण,Padma Bhushan
14,प्रेम पुजारी,Prem Pujari
15,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार,Filmfare Award for Best Actor
16,भारत,India
17,भारत सरकार,Government of India
18,मनमोहन सिंह,Manmohan Singh
19,महाराष्ट्र,Maharashtra
20,राज कपूर,Raj Kapoor
21,राहुल देव बर्मन,R. D. Burman
22,लंदन,London
23,वहीदा रहमान,Waheeda Rehman
24,शंकर-जयकिशन,Shankar–Jaikishan
25,शैलेन्द्र,Shailendra (lyricist)
26,सचिन देव बर्मन,S. D. Burman
27,हसरत जयपुरी,Hasrat Jaipuri
28,२००१,2001
29,अभिनेता,Actor
30,एबीपी न्यूज़,ABP News
31,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
32,फ़िल्मफ़ेयर सर्वश्रेष्ठ निर्देशक पुरस्कार,Filmfare Award for Best Director
33,हिन्दी,Hindi
34,आदित्य चोपड़ा,Aditya Chopra
35,दादासाहेब फाल्के पुरस्कार,Dadasaheb Phalke Award
36,पद्म भूषण,Padma Bhushan
37,भारत,India
38,भारत सरकार,Government of India
39,महाराष्ट्र,Maharashtra
40,यश चोपड़ा,Yash Chopra
41,रवि चोपड़ा,Ravi Chopra
42,अमिताभ बच्चन,Amitabh Bachchan
43,द बर्निंग ट्रेन,The Burning Train
44,सायरा बानो,Saira Banu
