,hindi,english
0,ज्ञानपीठ पुरस्कार,Jnanpith Award
1,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
2,कर्नाटक,Karnataka
3,चित्रदुर्ग,Chitradurga
4,बेल्लारी,Bellary
5,भारत,India
6,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
7,महात्मा गांधी,Mahatma Gandhi
8,मोरारजी देसाई,Morarji Desai
9,शंकराचार्य,Shankaracharya
10,पद्म भूषण,Padma Bhushan
11,भारत,India
12,भारतीय,Indian
13,स्मृति ईरानी,Smriti Irani
14,१९५५,1955
15,फ़ख़रुद्दीन अली अहमद,Fakhruddin Ali Ahmed
16,भारत,India
17,भारत के उपराष्ट्रपति,Vice President of India
18,२५ जुलाई,July 25
