,hindi,english
0,अमीरबाई कर्नाटकी,Amirbai Karnataki
1,आशा भोंसले,Asha Bhosle
2,उषा मंगेशकर,Usha Mangeshkar
3,कामिनी कौशल,Kamini Kaushal
4,कुन्दन लाल सहगल,K. L. Saigal
5,दीनानाथ मंगेशकर,Deenanath Mangeshkar
6,पद्म भूषण,Padma Bhushan
7,पार्श्वगायक,Playback singer
8,भारत,India
9,भारत रत्न,Bharat Ratna
10,भारतीय उपमहाद्वीप,Indian subcontinent
11,भारतीय सिनेमा,Cinema of India
12,मधुबाला,Madhubala
13,मध्य प्रदेश,Madhya Pradesh
14,महाराष्ट्र,Maharashtra
15,मोहम्मद रफ़ी,Mohammed Rafi
16,रंगमंच,Theatre
17,शमशाद बेगम,Shamshad Begum
18,शिवाजी,Shivaji
19,संगीत,Music
20,हिन्दी,Hindi
21,हृदयनाथ मंगेशकर,Hridaynath Mangeshkar
22,अंतर्राष्ट्रीय भारतीय फ़िल्म अकादमी पुरस्कार,International Indian Film Academy Awards
23,अभिषेक बच्चन,Abhishek Bachchan
24,अमिताभ बच्चन,Amitabh Bachchan
25,आई आई एफ ए सर्वश्रेष्ठ सहायक अभिनेत्री पुरस्कार,IIFA Award for Best Supporting Actress
26,उपहार,Gift
27,ऋषिकेश मुखर्जी,Hrishikesh Mukherjee
28,ऐश्वर्या राय,Aishwarya Rai
29,कपूर परिवार,Kapoor family
30,कभी खुशी कभी ग़म,Kabhi Khushi Kabhie Gham...
31,कल हो ना हो,Kal Ho Naa Ho
32,चुपके चुपके,Chupke Chupke
33,जबलपुर,Jabalpur
34,नूतन,Nutan
35,पद्म श्री,Padma Shri
36,परिचय,Parichay
37,पिया का घर,Piya Ka Ghar
38,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
39,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेत्री पुरस्कार,Filmfare Award for Best Actress
40,फ़िल्मफ़ेयर सर्वश्रेष्ठ सहायक अभिनेत्री पुरस्कार,Filmfare Award for Best Supporting Actress
41,फिज़ा,Fiza
42,भारत,India
43,मध्य प्रदेश,Madhya Pradesh
44,श्वेता बच्चन नंदा,Shweta Bachchan Nanda
45,समाजवादी पार्टी,Samajwadi Party
46,समाधि,Samadhi
47,अरबाज़ ख़ान,Arbaaz Khan
48,तीसरी मंज़िल,Teesri Manzil
49,दीवाना,Deewana
50,ब्रिटिश भारतीय सेना,British Indian Army
51,भारत,India
52,मध्य प्रदेश,Madhya Pradesh
53,सलीम-जावेद,Salim–Javed
54,हिन्दू,Hindus
55,हेलन,Helen (actress)
56,10 अप्रैल,April 10
57,17 फरवरी,February 17
58,2001,2001
59,2002,2002
60,2003,2003
61,2004,2004
62,2005,2005
63,2006,2006
64,2007,2007
65,2008,2008
66,अतुल अग्निहोत्री,Atul Agnihotri
67,अफगानिस्तान,Afghanistan
68,अभिनेता,Actor
69,अरबाज़ ख़ान,Arbaaz Khan
70,अली लार्टर,Ali Larter
71,आमिर ख़ान,Aamir Khan
72,उर्दू,Urdu
73,एक था टाइगर,Ek Tha Tiger
74,ऐश्वर्या राय,Aishwarya Rai
75,औजार,Tool
76,करन अर्जुन,Karan Arjun
77,करिश्मा कपूर,Karisma Kapoor
78,किक (२०१४ फिल्म),Kick (2014 film)
79,कुछ कुछ होता है,Kuch Kuch Hota Hai
80,कैटरीना कैफ,Katrina Kaif
81,गायक,Singer
82,ग्वालियर,Gwalior
83,चंडीगढ़,Chandigarh
84,चिंकारा,Chinkara
85,चोरी चोरी चुपके चुपके,Chori Chori Chupke Chupke
86,जय हो,Jai Ho (song)
87,जय हो (फ़िल्म),Jai Ho (film)
88,जेल,Prison
89,जोधपुर,Jodhpur
90,टाइगर जिंदा है,Tiger Zinda Hai
91,ट्विटर,Twitter
92,डेविड धवन,David Dhawan
93,तेरे नाम,Tere Naam
94,दबंग,Dabangg
95,नाना पाटेकर,Nana Patekar
96,फ़िल्मफ़ेयर सर्वश्रेष्ठ सहायक अभिनेता पुरस्कार,Filmfare Award for Best Supporting Actor
97,बाबुल,Babol
98,बीइंग ह्यूमन फ़ाउन्डेशन,Being Human Foundation
99,बीवी नं॰ 1,Biwi No.1
100,बीवी हो तो ऐसी,Biwi Ho To Aisi
101,बॉडीगार्ड,Bodyguard (2011 Hindi film)
102,बॉलीवुड,Bollywood
103,भारत,India
104,भारतीय,Indian
105,भारतीय अभिनेताओं की सूची,List of Indian film actors
106,मध्य प्रदेश,Madhya Pradesh
107,मध्य प्रदेश के लोगों की सूची,List of people from Madhya Pradesh
108,मनीषा कोइराला,Manisha Koirala
109,मराठी,Marathi language
110,माधुरी दीक्षित,Madhuri Dixit
111,मीडिया,Media
112,मुंबई,Mumbai
113,मुझसे शादी करोगी,Mujhse Shaadi Karogi
114,मुस्लिम,Muslims
115,मैंने प्यार किया,Maine Pyar Kiya
116,मैडम तुसाद संग्रहालय,Madame Tussauds
117,राकेश रोशन,Rakesh Roshan
118,राजस्थान,Rajasthan
119,रानी मुखर्जी,Rani Mukerji
120,राष्ट्रीय महिला आयोग,National Commission for Women
121,रेड्डी,Reddy
122,लंदन,London
123,वांटेड,Wanted (2009 film)
124,शाहरुख़ ख़ान,Shah Rukh Khan
125,संगठित अपराध,Organized crime
126,संगीता बिजलानी,Sangeeta Bijlani
127,संग्रहालय,Museum
128,संजय लीला भंसाली,Sanjay Leela Bhansali
129,सनी देओल,Sunny Deol
130,सलीम ख़ान,Salim Khan
131,सीमा बिस्वास,Seema Biswas
132,सुहेल ख़ान,Sohail Khan
133,सोमी अली,Somy Ali
134,हम आपके हैं कौन,Hum Aapke Hain Koun..!
135,हम दिल दे चुके सनम,Hum Dil De Chuke Sanam
136,हम साथ-साथ हैं,Hum Saath-Saath Hain
137,हम साथ साथ हैं,Hum Saath-Saath Hain
138,हर दिल जो प्यार करेगा,Har Dil Jo Pyar Karega
139,हिंदू,Hinduism
140,हेलन,Helen (actress)
