,hindi,english
0,इलाहाबाद,Allahabad
1,कोलकाता,Kolkata
2,बंगाल,Bengal
3,बाँकुड़ा,Bankura
4,भारत,India
5,मॉडर्न रिव्यू,Modern Review (Calcutta)
6,यदुनाथ सरकार,Jadunath Sarkar
7,राष्ट्रभाषा,National language
8,हिन्दी,Hindi
9,अरबी,Arab (disambiguation)
10,इंग्लैण्ड,England
11,ईस्ट इंडिया कंपनी,East India Company
12,ईस्ट इंडिया कम्पनी,East India Company
13,ज्योतिराव गोविंदराव फुले,Jyotirao Phule
14,पत्रकारिता,Journalism
15,फ़ारसी,Persian language
16,फ़्रांस,France
17,फारसी,Persian language
18,बंगाल,Bengal
19,बंगाली,Bengali language
20,बांग्ला,Bengali language
21,बी आर अम्बेडकर,B. R. Ambedkar
22,भारत,India
23,भारतीय स्वतन्त्रता संग्राम,Indian independence movement
24,संवाद कौमुदी,Sambad Kaumudi
25,संस्कृत,Sanskrit
26,हिन्दी,Hindi
27,उपन्यास,Novel
28,बंगाल,Bengal
29,राष्ट्रवाद,Nationalism
30,भारत,India
