,hindi,english
0,ओड़िया,Odia language
1,ओड़िशा,Odisha
2,ओडिया,Oriya
3,कटक,Cuttack
4,ओडिशा के मुख्यमंत्रियों की सूची,List of chief ministers of Odisha
5,उपन्यास,Novel
6,ओड़िया भाषा,Odia language
7,अंग्रेजी,English language
8,अंडमान व निकोबार द्वीप,Andaman and Nicobar Islands
9,अंदमान और निकोबार द्वीप,Andaman and Nicobar Islands
10,अनिता बोस फाफ,Anita Bose Pfaff
11,अफगानिस्तान,Afghanistan
12,अरविन्द घोष,Sri Aurobindo
13,अल्मोड़ा,Almora
14,असहयोग आंदोलन,Non-cooperation movement
15,आज़ाद हिन्द,Azad Hind
16,आज़ाद हिन्द फ़ौज,Indian National Army
17,आज़ाद हिन्द फौज,Indian National Army
18,आज़ाद हिन्द रेडियो,Azad Hind Radio
19,आजाद हिन्द,Azad Hind
20,आजाद हिन्द फौज,Indian National Army
21,आयरलैंड,Ireland
22,इंग्लैंड,England
23,इंडोनेशिया,Indonesia
24,इंफाल,Imphal
25,इटली,Italy
26,इम्फाल,Imphal
27,उच्चारण,Pronunciation
28,एमिली शेंकल,Emilie Schenkl
29,एशिया,Asia
30,ऑस्ट्रिया,Austria
31,ओड़िशा,Odisha
32,कटक,Cuttack
33,कराची,Karachi
34,कलकत्ता,Kolkata
35,कलकत्ता विश्वविद्यालय,University of Calcutta
36,काबुल,Kabul
37,कार,Car
38,कील,Nail (fastener)
39,कोरिया,Korea
40,कोलकाता,Kolkata
41,कोहिमा,Kohima
42,कोहिमा का युद्ध,Battle of Kohima
43,चित्तरंजन दास,Chittaranjan Das
44,चीन,China (region)
45,छत्तीसगढ़,Chhattisgarh
46,जय हिन्द,Jai Hind
47,जर्मनी,Germany
48,जवाहरलाल नेहरू,Jawaharlal Nehru
49,जापान,Japan
50,जापानी भाषा,Japanese language
51,झाँसी की रानी रेजिमेंट,Rani of Jhansi Regiment
52,टोकियो,Tokyo
53,डलहौजी,"Dalhousie, India"
54,तपेदिक,Tuberculosis
55,ताइवान,Taiwan (island)
56,त्रिपुरी,Tripuri
57,दिल्ली,Delhi
58,देशबंधु चित्तरंजन दास,Chittaranjan Das
59,द्वितीय विश्वयुद्ध,World War II
60,नागासाकी,Nagasaki
61,नौसेना विद्रोह,Royal Indian Navy mutiny
62,पट्टाभि सीतारमैया,Bhogaraju Pattabhi Sitaramayya
63,पत्नी,Wife
64,पशु चिकित्सक,Veterinary medicine
65,पश्चिम बंगाल,West Bengal
66,पश्चिम बंगाल सरकार,Government of West Bengal
67,पूर्वी एशिया,East Asia
68,पेशावर,Peshawar
69,प्रफुल्लचन्द्र राय,Prafulla Chandra Ray
70,फिलीपींस,Philippines
71,फैजाबाद,Faizabad
72,फॉरवर्ड ब्लॉक,All India Forward Bloc
73,बंगलौर,Bangalore
74,बंगाल,Bengal
75,बर्मा,Myanmar
76,बर्लिन,Berlin
77,ब्रिटिश राज,British Raj
78,ब्रिटिश साम्राज्य,British Empire
79,भगत सिंह,Bhagat Singh
80,भाई,Brother
81,भारत,India
82,भारत सरकार,Government of India
83,भारतीय,Indian
84,भारतीय इतिहास,History of India
85,भारतीय राष्ट्रीय अभिलेखागार,National Archives of India
86,भारतीय स्वतंत्रता का क्रांतिकारी आन्दोलन,Revolutionary movement for Indian independence
87,मंचूरिया,Manchuria
88,महात्मा गांधी,Mahatma Gandhi
89,माईन काम्फ,Mein Kampf
90,माण्डले,Mandalay
91,मान्चुको,Manchukuo
92,मास्को,Moscow
93,मुखर्जी आयोग,Mukherjee Commission
94,मुम्बई,Mumbai
95,मुसोलिनी,Benito Mussolini
96,मृत्यु,Death
97,मेघनाद साहा,Meghnad Saha
98,मैडागास्कर,Madagascar
99,मोतीलाल नेहरू,Motilal Nehru
100,म्याँमार,Myanmar
101,यूरोप,Europe
102,रंगून,Yangon
103,रवींद्रनाथ ठाकुर,Rabindranath Tagore
104,रवीन्द्रनाथ ठाकुर,Rabindranath Tagore
105,राज्य,State (polity)
106,राष्ट्रपिता,Father of the Nation
107,रासबिहारी बोस,Rash Behari Bose
108,रूस,Russia
109,रैंकोजी मन्दिर (जापान),Renkō-ji
110,लाहौर,Lahore
111,वकील,Advocate
112,विधानसभा,State Legislative Assembly (India)
113,वियेना,Vienna
114,संस्करण,Edition (printmaking)
115,सरदार वल्लभ भाई पटेल,Vallabhbhai Patel
116,साइमन कमीशन,Simon Commission
117,सिंगापुर,Singapore
118,सुभाष चन्द्र बोस की मृत्यु,Death of Subhas Chandra Bose
119,सुभाष चन्द्र बोस के राजनैतिक विचार,Political views of Subhas Chandra Bose
120,सैगोन,Ho Chi Minh City
121,स्वतन्त्रता संग्राम,Indian independence movement
122,स्वराज,Swaraj
123,स्वराज पार्टी,Swaraj Party
124,स्वामी विवेकानन्द,Swami Vivekananda
125,हिटलर,Adolf Hitler
126,हिदेकी तोजो,Hideki Tojo
127,हिन्द महासागर,Indian Ocean
128,हिन्दू,Hindus
129,हिरोशिमा,Hiroshima
