,hindi,english
0,13 अक्टूबर,October 13
1,1929,1929
2,1987,1987
3,4 अगस्त,August 4
4,अनूप कुमार,Anoop Kumar
5,अभिनेता,Actor
6,अमिताभ बच्चन,Amitabh Bachchan
7,इन्दौर,Indore
8,एस डी बर्मन,S. D. Burman
9,के एल सहगल,K. L. Saigal
10,खंडवा,Khandwa
11,गायक,Singer
12,तलत महमूद,Talat Mahmood
13,दिलीप कुमार,Dilip Kumar
14,देव आनंद,Dev Anand
15,पार्श्वगायक,Playback singer
16,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
17,बलराज साहनी,Balraj Sahni
18,बिमल राय,Bimal Roy
19,भारत,India
20,भारतीय,Indian
21,भारतीय सिनेमा,Cinema of India
22,मधुबाला,Madhubala
23,मध्य प्रदेश,Madhya Pradesh
24,मध्यप्रदेश,Madhya Pradesh
25,मनोज कुमार,Manoj Kumar
26,मन्ना डे,Manna Dey
27,मिथुन चक्रवर्ती,Mithun Chakraborty
28,मोहम्मद रफ़ी,Mohammed Rafi
29,योगिता बाली,Yogeeta Bali
30,राज कपूर,Raj Kapoor
31,राजेश खन्ना,Rajesh Khanna
32,लता मंगेशकर,Lata Mangeshkar
33,लता मंगेशकर पुरस्कार,Lata Mangeshkar Award
34,लीना चंदावरकर,Leena Chandavarkar
35,लीना चन्दावरकर,Leena Chandavarkar
36,अंतर्राष्ट्रीय भारतीय फ़िल्म अकादमी पुरस्कार,International Indian Film Academy Awards
37,अनु मलिक,Anu Malik
38,आई आई एफ ए सर्वश्रेष्ठ पार्श्व गायक पुरस्कार,IIFA Award for Best Male Playback Singer
39,आनंद-मिलिंद,Anand–Milind
40,आशिकी,Aashiqui
41,किशोर कुमार,Kishore Kumar
42,जगजीत सिंह,Jagjit Singh
43,जतिन-ललित,Jatin–Lalit
44,दम लगा के हईशा,Dum Laga Ke Haisha
45,नदीम-श्रवण,Nadeem–Shravan
46,पद्म श्री,Padma Shri
47,फ़िल्मफ़ेयर सर्वश्रेष्ठ पार्श्व गायक पुरस्कार,Filmfare Award for Best Male Playback Singer
48,भारत,India
49,राउडी राठौर,Rowdy Rathore
50,सचिन देव बर्मन,S. D. Burman
51,हम दिल दे चुके सनम,Hum Dil De Chuke Sanam
52,हिन्दी,Hindi
53,इंटरनेट मूवी डेटाबेस,IMDb
54,किशोर कुमार,Kishore Kumar
55,कृष्ण चन्द्र डे,K. C. Dey
56,केरल,Kerala
57,कैंसर,Cancer
58,कोलकाता,Kolkata
59,दादासाहेब फाल्के पुरस्कार,Dadasaheb Phalke Award
60,पद्म भूषण,Padma Bhushan
61,पद्म श्री,Padma Shri
62,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
63,बंगलोर,Bangalore
64,बांग्ला भाषा,Bengali language
65,भारत,India
66,भारत सरकार,Government of India
67,मधुशाला,Madhushala
68,महमूद,Mehmood (actor)
69,महात्मा गांधी,Mahatma Gandhi
70,मेरा नाम जोकर,Mera Naam Joker
71,मेरे हुजूर,Mere Huzoor
72,रवीन्द्र भारती विश्वविद्यालय,Rabindra Bharati University
73,राजेन्द्र कृष्ण,Rajendra Krishan
74,संगीत,Music
75,सुरैया,Suraiya
76,हरिवंश राय बच्चन,Harivansh Rai Bachchan
77,किशोर कुमार,Kishore Kumar
78,कोलकाता,Kolkata
79,भारतीय,Indian
