,hindi,english
0,सिंगापुर के राष्ट्रपति,President of Singapore
1,दसवीं लोक सभा,10th Lok Sabha
2,बारहवीं लोक सभा,12th Lok Sabha
3,भारतीय कृषि अनुसंधान परिषद,Indian Council of Agricultural Research
4,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
5,राज्य सभा,Rajya Sabha
6,राज्य सभा के उपाध्यक्ष,Deputy Chairman of the Rajya Sabha
7,लोक सभा,Lok Sabha
8,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
9,राजनीति,Politics
10,राज्य सभा,Rajya Sabha
11,राज्य सभा के उपाध्यक्ष,Deputy Chairman of the Rajya Sabha
12,झारखण्ड,Jharkhand
13,नागालैण्ड,Nagaland
