,hindi,english
0,छोटी सी बात,Chhoti Si Baat
1,अनिल करनजय,Anil Karanjai
2,अनुवाद,Translation
3,उतपलकुमार बसु,Utpal Kumar Basu
4,उपन्यास,Novel
5,कॉपीराइट,Copyright
6,देबी राय,Debi Roy
7,प्रेमचंद,Premchand
8,फणीश्वर नाथ 'रेणु',Phanishwar Nath 'Renu'
9,फालगुनि राय,Falguni Roy
10,बांग्ला,Bengali language
11,बिहार,Bihar
12,भीष्म साहनी,Bhisham Sahni
13,मलय रायचौधुरी,Malay Roy Choudhury
14,मोहन राकेश,Mohan Rakesh
15,यशपाल,Yashpal
16,शक्ति चट्टोपाध्याय,Shakti Chattopadhyay
17,श्रीकांत वर्मा,Shrikant Verma
18,समीर रायचौधुरी,Samir Roychoudhury
19,साहित्य अकादमी,Sahitya Akademi
20,हिन्दी,Hindi
21,उर्वशी बुटालिया,Urvashi Butalia
22,कश्मीर,Kashmir
23,दुर्गापुर,Durgapur
24,प्रेमचंद,Premchand
25,मुर्शिदाबाद,Murshidabad
