,hindi,english
0,एन आर्टिस्ट इन लाइफ़,An Artist in Life
1,कला,Art
2,बौद्ध धर्म,Buddhism
3,भारत,India
4,अनुसंधान,Research
5,चरक,Charaka
6,पद्म भूषण,Padma Bhushan
7,भारत,India
8,भारत सरकार,Government of India
9,भारतीय दर्शन,Indian philosophy
10,भौतिकवाद,Materialism
11,मार्क्सवाद,Marxism
12,वैज्ञानिक विधि,Scientific method
13,सुश्रुत,Sushruta
14,१९९८,1998
15,अर्थशास्त्र,Economics
16,ऑक्सफोर्ड विश्वविद्यालय,University of Oxford
17,कैम्ब्रिज,Cambridge
18,कोलकाता,Kolkata
19,जादवपुर विश्वविद्यालय,Jadavpur University
20,ढाका विश्वविद्यालय,University of Dhaka
21,नोबल पुरस्कार,Nobel Prize
22,न्यूयॉर्क,New York (state)
23,पश्चिम बंगाल,West Bengal
24,बंगाली,Bengali language
25,भारत,India
26,भारत रत्न,Bharat Ratna
27,रवींद्रनाथ टैगोर,Rabindranath Tagore
28,रसायन शास्त्र,Chemistry
29,शांति निकेतन,Shantiniketan
30,हार्वर्ड विश्वविद्यालय,Harvard University
31,१९३३,1933
32,१९९८,1998
33,१९९९,1999
34,३ नवंबर,November 3
