,hindi,english
0,अरुण गवली,Arun Gawli
1,अशोक कामटे,Ashok Kamte
2,तुकाराम ओंबले,Tukaram Omble
3,भारत,India
4,महाराष्ट्र,Maharashtra
5,मुंबई,Mumbai
6,मुंबई पुलिस,Mumbai Police
7,संदीप उन्नीकृष्णन,Sandeep Unnikrishnan
8,हेमंत करकरे,Hemant Karkare
9,अशोक कामटे,Ashok Kamte
10,रिसर्च एंड एनालिसिस विंग,Research and Analysis Wing
11,विजय सालस्कर,Vijay Salaskar
12,संदीप उन्नीकृष्णन,Sandeep Unnikrishnan
13,२००८ के मुंबई हमले,2008 Mumbai attacks
14,अशोक कामटे,Ashok Kamte
15,अशोक चक्र,Ashoka Chakra (military decoration)
16,भारत,India
17,भारत सरकार,Government of India
18,महाराष्ट्र,Maharashtra
19,मुंबई पुलिस,Mumbai Police
20,मुम्बई,Mumbai
21,विजय सालस्कर,Vijay Salaskar
22,संदीप उन्नीकृष्णन,Sandeep Unnikrishnan
23,हेमंत करकरे,Hemant Karkare
24,२००८ के मुंबई हमले,2008 Mumbai attacks
