,hindi,english
0,11 गोरखा राइफल्स,11th Gorkha Rifles
1,अजय देवगन,Ajay Devgn
2,उत्तर प्रदेश,Uttar Pradesh
3,कारगिल,Kargil
4,कारगिल युद्ध,Kargil War
5,क्षेत्री,Chhetri
6,परमवीर चक्र,Param Vir Chakra
7,पाकिस्तान,Pakistan
8,पुणे,Pune
9,भारत,India
10,सीतापुर,Sitapur
11,१९९९,1999
12,1950,1950
13,अराकन अभियान,Arakan Campaign 1942–43
14,उत्तर प्रदेश,Uttar Pradesh
15,जम्मू और कश्मीर,Jammu and Kashmir (state)
16,द्वितीय विश्व युद्ध,World War II
17,नौशेरा,Battle of Nowshera
18,परमवीर चक्र,Param Vir Chakra
19,ब्रिटिश भारत,Presidencies and provinces of British India
20,ब्रिटिश भारतीय सेना,British Indian Army
21,भारत,India
22,भारत-पाकिस्तान युद्ध 1947,Indo-Pakistani War of 1947–1948
23,भारत सरकार,Government of India
24,भारतीय सेना,Indian Armed Forces
25,राजपूत रेजिमेंट,Rajput Regiment
26,शाहजहांपुर,Shahjahanpur district
27,सैनिक,Military
28,उत्तर प्रदेश,Uttar Pradesh
29,कारगिल युद्ध,Kargil War
30,कुमाऊं रेजिमेंट,Kumaon Regiment
31,ग्रेनेडियर्स,The Grenadiers
32,परमवीर चक्र,Param Vir Chakra
33,भारत,India
34,कोटली,Kotli
35,जनरल,General officer
36,जम्मू और कश्मीर,Jammu and Kashmir (state)
37,जवाहरलाल नेहरू,Jawaharlal Nehru
38,जामिया मिलिया इस्लामिया,Jamia Millia Islamia
39,झज्जर,Jhajjar
40,डोगरा रेजिमेंट,Dogra Regiment
41,नई दिल्ली,New Delhi
42,पाकिस्तान,Pakistan
43,पुंछ,Poonch (town)
44,भारत,India
45,महावीर चक्र,Maha Vir Chakra
46,मीरपुर,"Mirpur, Pakistan"
47,लेफ्टिनेंट जनरल,Lieutenant general
48,हरियाणा,Haryana
