,hindi,english
0,मध्य प्रदेश,Madhya Pradesh
1,हार्वर्ड विश्वविद्यालय,Harvard University
2,अलीगढ़,Aligarh
3,अलीगढ़ मुस्लिम विश्वविद्यालय,Aligarh Muslim University
4,उर्दू,Urdu
5,जामिया हमदर्द,Jamia Hamdard
6,फ़ारसी भाषा,Persian language
7,यश भारती पुरस्कार,Yash Bharti Award
8,इलाहाबाद विश्वविद्यालय,University of Allahabad
9,पद्म भूषण,Padma Bhushan
10,भारत,India
11,भारत सरकार,Government of India
12,मध्य प्रदेश,Madhya Pradesh
13,मुंबई विश्वविद्यालय,University of Mumbai
14,मुम्बई,Mumbai
15,१९६९,1969
16,भारत,India
