,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,इंस्टाग्राम,Instagram
2,एली एवराम,Elli AvrRam
3,कायरा आडवाणी,Kiara Advani
4,ज़रीन खान,Zareen Khan
5,तेलुगु,Telugu language
6,दिलवाले,Dilwale
7,दिल्ली पब्लिक स्कूल,Delhi Public School Society
8,नई दिल्ली,New Delhi
9,बरेली की बर्फी,Bareilly Ki Barfi
10,भारतीय,Indian
11,सना खान,Sana Khan
12,सुशांत सिंह राजपूत,Sushant Singh Rajput
13,हाउसफुल 4,Housefull 4
14,हीरोपंती,Heropanti
15,हुमा क़ुरैशी (अभिनेत्री),Huma Qureshi (actress)
16,इंटरनेट मूवी डेटाबेस,IMDb
17,दिल्ली,Delhi
18,हुमा क़ुरैशी (अभिनेत्री),Huma Qureshi (actress)
19,हुमा क़ुरैशी (पत्रकार),Huma Qureshi (journalist)
20,2012 दिल्ली सामूहिक बलात्कार मामला,2012 Delhi gang rape
21,अक्षय कुमार,Akshay Kumar
22,अभिनेता,Actor
23,उच्च न्यायालय,High Court
24,गायक,Singer
25,दिल्ली उच्च न्यायालय,Delhi High Court
26,पंजाबी भाषा,Punjabi language
27,भांगड़ा,Bhangra (music)
28,रैप,Rapping
29,संगीतकार,Musician
